tbl_old,tbl_new,fld_old,fld_new,description,type_mysql,type
hcaf_r,cells,ID,cell_id,"Unique HCAF ID, for internal use only.",int,int
hcaf_r,cells,CsquareCode,csquare_code,A unique identifier for every half-degree cell in the global map based on the c-square method - a hierarchical cell labelling system developed at CSIRO Oceans and Atmosphere (then CSIRO Marine Research). Example: 3414:227:3,varchar,chr
hcaf_r,cells,LOICZID,loiczid,"LOICZ ID numbers are long integers from 1 to 259200. They begin with the cell centered at 89.75 degrees N latitude and 179.75 degrees W latitude and proceed from West to East. When a full circle of 720 cells is completed, the numbering steps one cell south along the -180 meridian and continues sequentially west to east.",int,int
hcaf_r,cells,NLimit,n_limit,"Northern boundary of cell in decimal degrees latitude (positive in N hemisphere, negative in S hemisphere). Points falling on this line are considered inside the cell in the S hemisphere (exception: cells adjoining the equator, i.e., where N_limit = 0). Also (polar case), points on this line are ""inside"" in the N hemisphere when N_limit = 90.",double,dbl
hcaf_r,cells,Slimit,s_limit,"Southern boundary of cell in decimal degrees latitude (positive in N hemisphere, negative in S hemisphere). Points falling on this line are considered inside the cell in the N hemisphere. Also (polar case), points on this line are ""inside"" in the S hemisphere when S_limit = -90.",double,dbl
hcaf_r,cells,WLimit,w_limit,"Western boundary of cell in decimal degrees latitude (positive in E hemisphere, negative in W hemisphere). Points falling on this line are considered inside the cell in the E hemisphere. Also (boundary case), points on this line are ""inside"" in the W hemisphere when W_limit = -180.",double,dbl
hcaf_r,cells,ELimit,e_limit,"Eastern boundary of cell in decimal degrees latitude (positive in E hemisphere, negative in W hemisphere). Points falling on this line are considered inside the cell in the W hemisphere (exception: cells adjoining the Greenwich Meridian, i.e., where E_limit = 0). Also (boundary case), points on this line are ""inside"" in the E hemisphere when E_limit = 180.",double,dbl
hcaf_r,cells,CenterLat,center_lat,The center point of the cell in decimal degrees latitude.,double,dbl
hcaf_r,cells,CenterLong,center_long,The center point of the cell in decimal degrees longitude.,double,dbl
hcaf_r,cells,CellArea,cell_area,"The total area inside the cell in square kilometers, using WGS84 and Miller cylindrical projection (KGS description).",double,dbl
hcaf_r,cells,OceanArea,ocean_area,"The area in the cell that is normally covered by sea water or permanent ice, in square kilometers (KGS description).",double,dbl
hcaf_r,cells,PWater,p_water,Proportion of water in each cell.,double,dbl
hcaf_r,cells,ClimZoneCode,clim_zone_code,Climate zone to which the cell belongs based on climate zone shape file in SAU database.,varchar,chr
hcaf_r,cells,FAOAreaM,fao_area_m,"Code number of FAO statistical area to which the cell belongs, for all oceanic and coastal cells.",int,int
hcaf_r,cells,FAOAreaIn,fao_area_in,"Code number of FAO statistical area to which the cell belongs, for all inland and coastal cells.",int,int
hcaf_r,cells,CountryMain,country_main,"UN code number of country, island or area to which the largest land area of the cell belongs, for all inland and coastal cells.",varchar,chr
hcaf_r,cells,CountrySecond,country_second,"UN code number of country, island or area to which the second largest land area of the cell belongs, for all inland and coastal cells.",varchar,chr
hcaf_r,cells,CountryThird,country_third,"UN code number of country, island or area to which the third largest land area of the cell belongs, for all inland and coastal cells.",varchar,chr
hcaf_r,cells,CountrySubMain,country_sub_main,"ISO code number of state, province, region to which the largest land area of the cell belongs.",varchar,chr
hcaf_r,cells,CountrySubSecond,country_sub_second,"ISO code number of state, province, region to which the second largest land area of the cell belongs.",varchar,chr
hcaf_r,cells,CountrySubThird,country_sub_third,"ISO code number of state, province, region to which the third largest land area of the cell belongs.",varchar,chr
hcaf_r,cells,EEZ,eez,"Code number of country, island or area to which the EEZ area in the cell belongs, for all coastal and oceanic cells.",int,int
hcaf_r,cells,LME,lme,"Code number of the large marine ecosystem to which the cell belongs, as given by NOAA (http://www.lme.noaa.gov), for all coastal and oceanic cells.",int,int
hcaf_r,cells,LMEBorder,lme_border,"Tags whether or not cell lies along the border of an LME. 0=No, 1=Yes",tinyint,int
hcaf_r,cells,MEOW,meow,"5-digit code (ECO_Code) refering to the marine ecoregion the cell belongs to, as assigned by MEOW, a biogeographic classification of the world's coasts and shelves.",int,int
hcaf_r,cells,OceanBasin,ocean_basin,Major ocean basins of world with north and south sub-basins separated by latitudinal data from literature.,int,int
hcaf_r,cells,IslandsNo,islands_no,"Number of coastal or oceanic islands contained in cell, as provided by the World Vector Shoreline database.",int,int
hcaf_r,cells,Area0_20,area0_20,"Area in cell from 0-20 m depth, in square kilometers, as provided by Smith and Sandwell: Bathymetry and Elevation (currently only 70 N to 70 S).",double,dbl
hcaf_r,cells,Area20_40,area20_40,"Area in cell from 20-40 m depth, in square kilometers, as provided by Smith and Sandwell: Bathymetry and Elevation.",double,dbl
hcaf_r,cells,Area40_60,area40_60,"Area in cell from 40-60 m depth, in square kilometers, as provided by Smith and Sandwell: Bathymetry and Elevation.",double,dbl
hcaf_r,cells,Area60_80,area60_80,"Area in cell 60-80 m depth, in square kilometers, as provided by Smith and Sandwell: Bathymetry and Elevation.",double,dbl
hcaf_r,cells,Area80_100,area80_100,"Area in cell from 80-100 m depth, in square kilometers, as provided by Smith and Sandwell: Bathymetry and Elevation.",double,dbl
hcaf_r,cells,AreaBelow100,area_below100,"Area in cell below 100 m depth, in square kilometers, as provided by Smith and Sandwell: Bathymetry and Elevation.",double,dbl
hcaf_r,cells,ElevationMin,elevation_min,"Minimum elevation above sea level in meters, as provided by ETOPO2.",double,dbl
hcaf_r,cells,ElevationMax,elevation_max,"Maximum elevation above sea level in cell in meters, as provided by ETOPO2.",double,dbl
hcaf_r,cells,ElevationMean,elevation_mean,"Mean elevation above sea level in meters, as provided by ETOPO2.",double,dbl
hcaf_r,cells,ElevationSD,elevation_sd,"Standard deviation of mean elevation above sea level in meters, as provided by ETOPO2.",double,dbl
hcaf_r,cells,DepthMin,depth_min,Minimum ETOPO 2min bathymetry (negative) elevation in 30min cell.,double,dbl
hcaf_r,cells,DepthMax,depth_max,Maximum ETOPO 2min bathymetry (negative) elevation in 30min cell.,double,dbl
