spp_id,worms_id,botw_id,extrisk_code,er_score,is_mmpa,is_mbta,is_bcc,taxon_scientific_name,iucn_code
127252,127252,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Sebastes fasciatus,EN
430645,430645,NA,NMFS:TN,50,FALSE,FALSE,FALSE,Acropora globiceps,EN
288219,288219,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Acropora lokani,EN
207059,207059,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Acropora pharaonis,EN
430653,430653,NA,NMFS:TN,50,FALSE,FALSE,FALSE,Acropora retusa,EN
288241,288241,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Acropora rudis,EN
217438,217438,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Latimeria chalumnae,CR
127137,127137,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Hippoglossoides platessoides,EN
289244,289244,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Anacropora spinosa,EN
271664,271664,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Squatina argentina,CR
254970,254970,NA,NMFS:LC,20,TRUE,FALSE,FALSE,Sousa teuszii,CR
105839,105839,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Isurus oxyrinchus,EN
282494,282494,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Pterapogon kauderni,EN
405012,405012,NA,NMFS:EN,100,FALSE,FALSE,FALSE,Haliotis cracherodii,CR
1672772,1672772,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Holothuria nobilis,EN
1016062,1016062,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Glaucostegus cemiculus,CR
158508,158508,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Carcharhinus acronotus,EN
137090,137090,NA,NMFS:EN,100,TRUE,FALSE,FALSE,Balaenoptera musculus,EN
274833,274833,NA,NMFS:EN,100,FALSE,FALSE,FALSE,Sebastes paucispinis,CR
158517,158517,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Sphyrna tiburo,EN
1043490,1043490,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Pseudobatos horkelii,CR
105928,105928,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Squatina squatina,CR
105898,105898,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Rhinobatos rhinobatos,CR
281186,281186,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Isogomphodon oxyrhynchus,CR
466759,466759,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Tridacna mbalavuana,EN
344639,344639,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Aipysurus fuscus,EN
271422,271422,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Pristis clavata,CR
288227,288227,NA,NMFS:TN,50,FALSE,FALSE,FALSE,Acropora palmata,CR
126279,126279,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Acipenser sturio,CR
1026118,1026118,NA,NMFS:TN,50,FALSE,FALSE,FALSE,Mobula birostris,EN
159406,159406,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Lopholatilus chamaeleonticeps,EN
445325,445325,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Haliotis fulgens,CR
217375,217375,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Pristis zijsron,CR
137206,137206,NA,NMFS:EN,100,FALSE,FALSE,FALSE,Chelonia mydas,EN
273879,273879,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Mycteroperca jordani,EN
1663107,1663107,NA,NMFS:EN,100,TRUE,FALSE,FALSE,Neomonachus schauinslandi,EN
137207,137207,NA,NMFS:EN,100,FALSE,FALSE,FALSE,Eretmochelys imbricata,CR
254979,254979,NA,NMFS:LC,20,TRUE,FALSE,FALSE,Cephalorhynchus hectori,EN
730691,730691,NA,NMFS:TN,50,FALSE,FALSE,FALSE,Isopora crateriformis,EN
137208,137208,NA,NMFS:EN,100,FALSE,FALSE,FALSE,Lepidochelys kempii,CR
105849,105849,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Pristis pristis,CR
758260,758260,NA,NMFS:TN,50,FALSE,FALSE,FALSE,Orbicella annularis,EN
287693,287693,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Montipora australiensis,EN
758261,758261,NA,NMFS:TN,50,FALSE,FALSE,FALSE,Orbicella faveolata,EN
217374,217374,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Anoxypristis cuspidata,CR
271393,271393,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Mustelus schmitti,CR
159222,159222,NA,NMFS:TN,50,FALSE,FALSE,FALSE,Epinephelus striatus,CR
159023,159023,NA,NMFS:EN,100,TRUE,FALSE,FALSE,Eubalaena glacialis,CR
254974,254974,NA,NMFS:EN,100,TRUE,FALSE,FALSE,Eubalaena japonica,EN
105794,105794,NA,NMFS:TN,50,FALSE,FALSE,FALSE,Carcharhinus longimanus,CR
418865,418865,NA,NMFS:EN,100,FALSE,FALSE,FALSE,Dendrogyra cylindrus,CR
445308,445308,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Haliotis corrugata,CR
405014,405014,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Haliotis kamtschatkana,EN
206964,206964,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Pocillopora meandrina,EN
466758,466758,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Tridacna squamosina,EN
1576133,1576133,NA,NMFS:EN,100,TRUE,FALSE,FALSE,Balaenoptera ricei,CR
290426,290426,NA,NMFS:TN,50,FALSE,FALSE,FALSE,Mycetophyllia ferox,CR
105797,105797,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Carcharhinus plumbeus,EN
105926,105926,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Squatina aculeata,CR
105816,105816,NA,NMFS:EN,100,FALSE,FALSE,FALSE,Sphyrna lewini,CR
137088,137088,NA,NMFS:EN,100,TRUE,FALSE,FALSE,Balaenoptera borealis,EN
430679,430679,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Seriatopora aculeata,EN
282740,282740,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Sebastolobus alascanus,EN
217342,217342,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Carcharhinus porosus,CR
105848,105848,NA,NMFS:EN,100,FALSE,FALSE,FALSE,Pristis pectinata,CR
382205,382205,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Tridacna derasa,EN
105927,105927,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Squatina oculata,CR
271669,271669,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Squatina guggenheim,EN
206989,206989,NA,NMFS:TN,50,FALSE,FALSE,FALSE,Acropora cervicornis,CR
271383,271383,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Mustelus fasciatus,CR
240764,240764,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Pycnopodia helianthoides,CR
105820,105820,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Galeorhinus galeus,CR
207670,207670,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Tridacna gigas,CR
291254,291254,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Tubastraea floreana,CR
343897,343897,NA,NMFS:LC,20,TRUE,FALSE,FALSE,Phocoena sinus,CR
445362,445362,NA,NMFS:EN,100,FALSE,FALSE,FALSE,Haliotis sorenseni,CR
158553,158553,NA,NMFS:LC,1,FALSE,FALSE,FALSE,Leucoraja ocellata,EN
206991,206991,NA,FWS:LC,1,FALSE,FALSE,FALSE,Acropora aculeus,EN
207020,207020,NA,FWS:LC,1,FALSE,FALSE,FALSE,Acropora acuminata,EN
207011,207011,NA,FWS:LC,1,FALSE,FALSE,FALSE,Acropora aspera,EN
288195,288195,NA,FWS:LC,1,FALSE,FALSE,FALSE,Acropora dendrum,EN
288198,288198,NA,FWS:LC,1,FALSE,FALSE,FALSE,Acropora donei,EN
207006,207006,NA,FWS:LC,1,FALSE,FALSE,FALSE,Acropora horrida,EN
207057,207057,NA,FWS:LC,1,FALSE,FALSE,FALSE,Acropora listeri,EN
207101,207101,NA,FWS:LC,1,FALSE,FALSE,FALSE,Acropora microclados,EN
207049,207049,NA,FWS:LC,1,FALSE,FALSE,FALSE,Acropora palmerae,EN
207008,207008,NA,FWS:LC,1,FALSE,FALSE,FALSE,Acropora paniculata,EN
207050,207050,NA,FWS:LC,1,FALSE,FALSE,FALSE,Acropora polystoma,EN
207081,207081,NA,FWS:LC,1,FALSE,FALSE,FALSE,Acropora striata,EN
288262,288262,NA,FWS:LC,1,FALSE,FALSE,FALSE,Acropora vaughani,EN
288263,288263,NA,FWS:LC,1,FALSE,FALSE,FALSE,Acropora verweyi,EN
287915,287915,NA,FWS:LC,1,FALSE,FALSE,FALSE,Agaricia lamarcki,CR
207192,207192,NA,FWS:LC,1,FALSE,FALSE,FALSE,Alveopora allingi,EN
207196,207196,NA,FWS:LC,1,FALSE,FALSE,FALSE,Alveopora fenestrata,EN
207201,207201,NA,FWS:LC,1,FALSE,FALSE,FALSE,Alveopora verrilliana,EN
289242,289242,NA,FWS:LC,1,FALSE,FALSE,FALSE,Anacropora puertogalerae,EN
158562,158562,NA,FWS:LC,1,FALSE,FALSE,FALSE,Anguilla rostrata,EN
287943,287943,NA,FWS:LC,1,FALSE,FALSE,FALSE,Astreopora cucullata,EN
254308,254308,22694870,FWS:TN,50,FALSE,TRUE,TRUE,Brachyramphus marmoratus,EN
289576,289576,NA,FWS:LC,1,FALSE,FALSE,FALSE,Caulastraea echinulata,EN
159313,159313,NA,FWS:LC,1,FALSE,FALSE,FALSE,Cynoscion regalis,EN
242598,242598,NA,FWS:LC,1,FALSE,FALSE,FALSE,Enhydra lutris,EN
405087,405087,22734408,FWS:LC,1,FALSE,FALSE,FALSE,Eudyptes moseleyi,EN
225987,225987,22697789,FWS:TN,50,FALSE,FALSE,FALSE,Eudyptes sclateri,EN
366771,366771,22693656,FWS:LC,1,FALSE,FALSE,FALSE,Haematopus chathamensis,EN
