am_mdl_key,ax_mdl_key,taxon_id,ms_merge_key,scientific_name,sp_cat,ax_status,supersedes,n_am_models,is_valid_usa_prev
am|SLB-61269,ax|125371,125371,ms_merge|WORMS:125371,Acanella arbuscula,coral,ok,TRUE,2,TRUE
am|W-Oct-125371,ax|125371,125371,ms_merge|WORMS:125371,Acanella arbuscula,coral,ok,TRUE,2,TRUE
am|W-Scl-430639,ax|430639,430639,ms_merge|WORMS:430639,Acanthastrea brevis,coral,ok,TRUE,1,TRUE
am|W-Scl-207384,ax|207384,207384,ms_merge|WORMS:207384,Acanthastrea echinata,coral,ok,TRUE,1,TRUE
am|W-Scl-288878,ax|288878,288878,ms_merge|WORMS:288878,Acanthastrea hemprichii,coral,ok,TRUE,1,TRUE
am|SLB-62749,NA,888170,ms_merge|WORMS:888170,Acanthastrea pachysepta,coral,absent_in_mask,FALSE,1,NA
am|W-Scl-766904,ax|766904,766904,ms_merge|WORMS:766904,Acanthastrea rotundoflora,coral,ok,TRUE,1,TRUE
am|W-Oct-177735,ax|177735,177735,ms_merge|WORMS:177735,Acanthogorgia aspera,coral,ok,TRUE,1,TRUE
am|W-Scl-288182,NA,288182,ms_merge|WORMS:288182,Acropora abrolhosensis,coral,absent_in_mask,FALSE,1,NA
am|SLB-61615,ax|207083,207083,ms_merge|WORMS:207083,Acropora abrotanoides,coral,ok,TRUE,3,TRUE
am|SLB-93376,ax|207083,207083,ms_merge|WORMS:207083,Acropora abrotanoides,coral,ok,TRUE,3,TRUE
am|W-Scl-207083,ax|207083,207083,ms_merge|WORMS:207083,Acropora abrotanoides,coral,ok,TRUE,3,TRUE
am|W-Scl-206991,ax|206991,206991,ms_merge|WORMS:206991,Acropora aculeus,coral,ok,TRUE,1,TRUE
am|W-Scl-207020,ax|207020,207020,ms_merge|WORMS:207020,Acropora acuminata,coral,ok,TRUE,1,TRUE
am|W-Scl-207024,ax|207024,207024,ms_merge|WORMS:207024,Acropora anthocercis,coral,ok,TRUE,1,TRUE
am|W-Scl-207011,ax|207011,207011,ms_merge|WORMS:207011,Acropora aspera,coral,ok,TRUE,1,TRUE
am|W-Scl-207052,ax|207052,207052,ms_merge|WORMS:207052,Acropora austera,coral,ok,TRUE,1,TRUE
am|W-Scl-288189,ax|288189,288189,ms_merge|WORMS:288189,Acropora carduus,coral,ok,TRUE,1,TRUE
am|W-Scl-288190,NA,288190,ms_merge|WORMS:288190,Acropora caroliniana,coral,absent_in_mask,FALSE,1,NA
am|W-Scl-207016,ax|207016,207016,ms_merge|WORMS:207016,Acropora cerealis,coral,ok,TRUE,1,TRUE
am|W-Scl-206989,ax|206989,206989,ms_merge|WORMS:206989,Acropora cervicornis,coral,ok,TRUE,1,TRUE
am|W-Scl-207075,ax|207075,207075,ms_merge|WORMS:207075,Acropora clathrata,coral,ok,TRUE,1,TRUE
am|W-Scl-207095,ax|207095,207095,ms_merge|WORMS:207095,Acropora cytherea,coral,ok,TRUE,1,TRUE
am|W-Scl-288195,ax|288195,288195,ms_merge|WORMS:288195,Acropora dendrum,coral,ok,TRUE,1,TRUE
am|W-Scl-207045,ax|207045,207045,ms_merge|WORMS:207045,Acropora digitifera,coral,ok,TRUE,1,TRUE
am|W-Scl-207106,ax|207106,207106,ms_merge|WORMS:207106,Acropora divaricata,coral,ok,TRUE,1,TRUE
am|W-Scl-288198,ax|288198,288198,ms_merge|WORMS:288198,Acropora donei,coral,ok,TRUE,1,TRUE
am|W-Scl-207069,ax|207069,207069,ms_merge|WORMS:207069,Acropora echinata,coral,ok,TRUE,1,TRUE
am|W-Scl-207113,ax|207113,207113,ms_merge|WORMS:207113,Acropora elseyi,coral,ok,TRUE,1,TRUE
am|W-Scl-288202,NA,288202,ms_merge|WORMS:288202,Acropora exquisita,coral,absent_in_mask,FALSE,1,NA
am|W-Scl-207058,ax|207058,207058,ms_merge|WORMS:207058,Acropora florida,coral,ok,TRUE,1,TRUE
am|W-Scl-207097,ax|207097,207097,ms_merge|WORMS:207097,Acropora gemmifera,coral,ok,TRUE,1,TRUE
am|W-Scl-207017,ax|207017,207017,ms_merge|WORMS:207017,Acropora glauca,coral,ok,TRUE,1,TRUE
am|W-Scl-207031,ax|207031,207031,ms_merge|WORMS:207031,Acropora grandis,coral,ok,TRUE,1,TRUE
am|W-Scl-207093,ax|207093,207093,ms_merge|WORMS:207093,Acropora granulosa,coral,ok,TRUE,1,TRUE
am|W-Scl-288206,NA,288206,ms_merge|WORMS:288206,Acropora halmaherae,coral,absent_in_mask,FALSE,1,NA
am|SLB-61684,ax|207006,207006,ms_merge|WORMS:207006,Acropora horrida,coral,ok,TRUE,3,TRUE
am|SLB-61708,ax|207006,207006,ms_merge|WORMS:207006,Acropora horrida,coral,ok,TRUE,3,TRUE
am|W-Scl-207006,ax|207006,207006,ms_merge|WORMS:207006,Acropora horrida,coral,ok,TRUE,3,TRUE
am|SLB-61677,ax|207094,207094,ms_merge|WORMS:207094,Acropora humilis,coral,ok,TRUE,2,TRUE
am|W-Scl-207094,ax|207094,207094,ms_merge|WORMS:207094,Acropora humilis,coral,ok,TRUE,2,TRUE
am|W-Scl-207044,ax|207044,207044,ms_merge|WORMS:207044,Acropora hyacinthus,coral,ok,TRUE,1,TRUE
am|W-Scl-207035,ax|207035,207035,ms_merge|WORMS:207035,Acropora intermedia,coral,ok,TRUE,1,TRUE
am|W-Scl-288214,NA,288214,ms_merge|WORMS:288214,Acropora kimbeensis,coral,absent_in_mask,FALSE,1,NA
am|W-Scl-288215,NA,288215,ms_merge|WORMS:288215,Acropora kirstyae,coral,absent_in_mask,FALSE,1,NA
am|W-Scl-207039,ax|207039,207039,ms_merge|WORMS:207039,Acropora latistella,coral,ok,TRUE,1,TRUE
am|W-Scl-207057,ax|207057,207057,ms_merge|WORMS:207057,Acropora listeri,coral,ok,TRUE,1,TRUE
am|W-Scl-207114,ax|207114,207114,ms_merge|WORMS:207114,Acropora longicyathus,coral,ok,TRUE,1,TRUE
am|SLB-61699,ax|207074,207074,ms_merge|WORMS:207074,Acropora loripes,coral,ok,TRUE,2,TRUE
am|W-Scl-207074,ax|207074,207074,ms_merge|WORMS:207074,Acropora loripes,coral,ok,TRUE,2,TRUE
am|W-Scl-740834,ax|740834,740834,ms_merge|WORMS:740834,Acropora lovelli,coral,ok,TRUE,1,TRUE
am|W-Scl-206994,ax|206994,206994,ms_merge|WORMS:206994,Acropora lutkeni,coral,ok,TRUE,1,TRUE
am|W-Scl-207101,ax|207101,207101,ms_merge|WORMS:207101,Acropora microclados,coral,ok,TRUE,1,TRUE
am|SLB-93427,ax|207046,207046,ms_merge|WORMS:207046,Acropora microphthalma,coral,ok,TRUE,2,TRUE
am|W-Scl-207046,ax|207046,207046,ms_merge|WORMS:207046,Acropora microphthalma,coral,ok,TRUE,2,TRUE
am|SLB-93516,ax|207023,207023,ms_merge|WORMS:207023,Acropora millepora,coral,ok,TRUE,2,TRUE
am|W-Scl-207023,ax|207023,207023,ms_merge|WORMS:207023,Acropora millepora,coral,ok,TRUE,2,TRUE
am|W-Scl-207103,ax|207103,207103,ms_merge|WORMS:207103,Acropora monticulosa,coral,ok,TRUE,1,TRUE
am|W-Scl-288225,NA,288225,ms_merge|WORMS:288225,Acropora multiacuta,coral,absent_in_mask,FALSE,1,NA
am|SLB-61632,ax|207007,207007,ms_merge|WORMS:207007,Acropora muricata,coral,ok,TRUE,2,TRUE
am|W-Scl-207007,ax|207007,207007,ms_merge|WORMS:207007,Acropora muricata,coral,ok,TRUE,2,TRUE
am|W-Scl-207100,ax|207100,207100,ms_merge|WORMS:207100,Acropora nana,coral,ok,TRUE,1,TRUE
am|W-Scl-207009,ax|207009,207009,ms_merge|WORMS:207009,Acropora nasuta,coral,ok,TRUE,1,TRUE
am|W-Scl-288227,ax|288227,288227,ms_merge|WORMS:288227,Acropora palmata,coral,ok,TRUE,1,TRUE
am|W-Scl-207049,ax|207049,207049,ms_merge|WORMS:207049,Acropora palmerae,coral,ok,TRUE,1,TRUE
am|W-Scl-207008,ax|207008,207008,ms_merge|WORMS:207008,Acropora paniculata,coral,ok,TRUE,1,TRUE
am|W-Scl-288232,NA,288232,ms_merge|WORMS:288232,Acropora pichoni,coral,absent_in_mask,FALSE,1,NA
am|W-Scl-288233,NA,288233,ms_merge|WORMS:288233,Acropora plumosa,coral,absent_in_mask,FALSE,1,NA
am|W-Scl-207050,ax|207050,207050,ms_merge|WORMS:207050,Acropora polystoma,coral,ok,TRUE,1,TRUE
am|W-Scl-288235,ax|288235,288235,ms_merge|WORMS:288235,Acropora prolifera,coral,ok,TRUE,1,TRUE
am|W-Scl-207015,ax|207015,207015,ms_merge|WORMS:207015,Acropora pulchra,coral,ok,TRUE,1,TRUE
am|W-Scl-430653,ax|430653,430653,ms_merge|WORMS:430653,Acropora retusa,coral,ok,TRUE,1,TRUE
am|SLB-61676,ax|207000,207000,ms_merge|WORMS:207000,Acropora robusta,coral,ok,TRUE,2,TRUE
am|W-Scl-207000,ax|207000,207000,ms_merge|WORMS:207000,Acropora robusta,coral,ok,TRUE,2,TRUE
am|W-Scl-207055,ax|207055,207055,ms_merge|WORMS:207055,Acropora samoensis,coral,ok,TRUE,1,TRUE
am|SLB-93644,ax|288244,288244,ms_merge|WORMS:288244,Acropora sarmentosa,coral,ok,TRUE,2,TRUE
am|W-Scl-288244,ax|288244,288244,ms_merge|WORMS:288244,Acropora sarmentosa,coral,ok,TRUE,2,TRUE
am|W-Scl-207080,ax|207080,207080,ms_merge|WORMS:207080,Acropora secale,coral,ok,TRUE,1,TRUE
am|SLB-61646,ax|207040,207040,ms_merge|WORMS:207040,Acropora selago,coral,ok,TRUE,2,TRUE
am|W-Scl-207040,ax|207040,207040,ms_merge|WORMS:207040,Acropora selago,coral,ok,TRUE,2,TRUE
am|W-Scl-288248,ax|288248,288248,ms_merge|WORMS:288248,Acropora solitaryensis,coral,ok,TRUE,1,TRUE
am|W-Scl-430654,NA,430654,ms_merge|WORMS:430654,Acropora spathulata,coral,absent_in_mask,FALSE,1,NA
am|SLB-61695,ax|430655,430655,ms_merge|WORMS:430655,Acropora speciosa,coral,ok,TRUE,2,TRUE
am|W-Scl-430655,ax|430655,430655,ms_merge|WORMS:430655,Acropora speciosa,coral,ok,TRUE,2,TRUE
am|W-Scl-207087,NA,207087,ms_merge|WORMS:207087,Acropora spicifera,coral,absent_in_mask,FALSE,1,NA
am|W-Scl-288250,ax|288250,288250,ms_merge|WORMS:288250,Acropora subglabra,coral,ok,TRUE,1,TRUE
am|W-Scl-368478,ax|368478,368478,ms_merge|WORMS:368478,Acropora subulata,coral,ok,TRUE,1,TRUE
am|W-Scl-288254,ax|288254,288254,ms_merge|WORMS:288254,Acropora tenella,coral,ok,TRUE,1,TRUE
am|SLB-93450,ax|207105,207105,ms_merge|WORMS:207105,Acropora tenuis,coral,ok,TRUE,2,TRUE
am|W-Scl-207105,ax|207105,207105,ms_merge|WORMS:207105,Acropora tenuis,coral,ok,TRUE,2,TRUE
am|W-Scl-288261,NA,288261,ms_merge|WORMS:288261,Acropora turaki,coral,absent_in_mask,FALSE,1,NA
am|W-Scl-206995,ax|206995,206995,ms_merge|WORMS:206995,Acropora valenciennesii,coral,ok,TRUE,1,TRUE
am|SLB-93731,ax|207072,207072,ms_merge|WORMS:207072,Acropora valida,coral,ok,TRUE,2,TRUE
am|W-Scl-207072,ax|207072,207072,ms_merge|WORMS:207072,Acropora valida,coral,ok,TRUE,2,TRUE
am|W-Scl-288262,ax|288262,288262,ms_merge|WORMS:288262,Acropora vaughani,coral,ok,TRUE,1,TRUE
am|W-Scl-288263,ax|288263,288263,ms_merge|WORMS:288263,Acropora verweyi,coral,ok,TRUE,1,TRUE
am|W-Scl-288266,NA,288266,ms_merge|WORMS:288266,Acropora willisae,coral,absent_in_mask,FALSE,1,NA
am|W-Scl-207032,ax|207032,207032,ms_merge|WORMS:207032,Acropora yongei,coral,ok,TRUE,1,TRUE
am|W-Hex-100930,NA,100930,ms_merge|WORMS:100930,Actinauge richardi,coral,absent_in_mask,FALSE,1,TRUE
am|SLB-58978,ax|592915,592915,ms_merge|WORMS:592915,Actinauge verrillii,coral,ok,TRUE,1,TRUE
am|W-Hex-100839,ax|100839,100839,ms_merge|WORMS:100839,Actinostola callosa,coral,ok,TRUE,1,TRUE
am|W-Oct-289357,ax|289357,289357,ms_merge|WORMS:289357,Adelogorgia phyllosclera,coral,ok,TRUE,1,TRUE
am|W-Scl-287911,ax|287911,287911,ms_merge|WORMS:287911,Agaricia agaricites,coral,ok,TRUE,1,TRUE
am|W-Scl-287912,ax|287912,287912,ms_merge|WORMS:287912,Agaricia fragilis,coral,ok,TRUE,1,TRUE
am|W-Scl-287913,ax|287913,287913,ms_merge|WORMS:287913,Agaricia grahamae,coral,ok,TRUE,1,TRUE
am|W-Scl-287914,ax|287914,287914,ms_merge|WORMS:287914,Agaricia humilis,coral,ok,TRUE,1,TRUE
am|W-Scl-287915,ax|287915,287915,ms_merge|WORMS:287915,Agaricia lamarcki,coral,ok,TRUE,1,TRUE
am|W-Scl-287916,ax|287916,287916,ms_merge|WORMS:287916,Agaricia tenuifolia,coral,ok,TRUE,1,TRUE
am|W-Scl-287917,ax|287917,287917,ms_merge|WORMS:287917,Agaricia undata,coral,ok,TRUE,1,TRUE
am|W-Hex-100862,ax|100862,100862,ms_merge|WORMS:100862,Alicia mirabilis,coral,ok,TRUE,1,TRUE
am|W-Hex-100933,ax|100933,100933,ms_merge|WORMS:100933,Allantactis parasitica,coral,ok,TRUE,1,TRUE
am|W-Scl-207192,ax|207192,207192,ms_merge|WORMS:207192,Alveopora allingi,coral,ok,TRUE,1,TRUE
am|W-Scl-289254,NA,289254,ms_merge|WORMS:289254,Alveopora catalai,coral,absent_in_mask,FALSE,1,NA
am|W-Scl-207196,ax|207196,207196,ms_merge|WORMS:207196,Alveopora fenestrata,coral,ok,TRUE,1,TRUE
am|W-Scl-207198,ax|207198,207198,ms_merge|WORMS:207198,Alveopora spongiosa,coral,ok,TRUE,1,TRUE
am|W-Scl-207195,NA,207195,ms_merge|WORMS:207195,Alveopora tizardi,coral,absent_in_mask,FALSE,1,NA
am|W-Scl-207201,ax|207201,207201,ms_merge|WORMS:207201,Alveopora verrilliana,coral,ok,TRUE,1,TRUE
am|W-Scl-212177,NA,212177,ms_merge|WORMS:212177,Anacropora forbesi,coral,absent_in_mask,FALSE,1,NA
am|W-Scl-289244,ax|289244,289244,ms_merge|WORMS:289244,Anacropora spinosa,coral,ok,TRUE,1,TRUE
am|W-Oct-520669,ax|520669,520669,ms_merge|WORMS:520669,Annella mollis,coral,ok,TRUE,1,TRUE
am|W-Scl-286718,ax|1593008,1593008,ms_merge|WORMS:1593008,Anomocora elongata,coral,ok,TRUE,1,TRUE
am|W-Scl-135130,ax|135130,135130,ms_merge|WORMS:135130,Anomocora fecunda,coral,ok,TRUE,2,TRUE
am|W-Scl-135150,ax|135130,135130,ms_merge|WORMS:135130,Anomocora fecunda,coral,ok,TRUE,2,TRUE
am|W-Scl-286719,ax|286719,286719,ms_merge|WORMS:286719,Anomocora prolifera,coral,ok,TRUE,1,TRUE
am|W-Scl-289412,ax|289412,289412,ms_merge|WORMS:289412,Anthemiphyllia dentata,coral,ok,TRUE,1,TRUE
am|W-Hex-283337,ax|283337,283337,ms_merge|WORMS:283337,Anthopleura artemisia,coral,ok,TRUE,1,TRUE
am|W-Hex-283347,ax|283347,283347,ms_merge|WORMS:283347,Anthopleura elegantissima,coral,ok,TRUE,1,TRUE
am|W-Hex-240753,ax|240753,240753,ms_merge|WORMS:240753,Anthopleura sola,coral,ok,TRUE,1,TRUE
am|W-Hex-283377,ax|283377,283377,ms_merge|WORMS:283377,Anthopleura xanthogrammica,coral,ok,TRUE,1,TRUE
am|SLB-61255,ax|367982,367982,ms_merge|WORMS:367982,Antillogorgia acerosa,coral,ok,TRUE,1,TRUE
am|SLB-61256,ax|708859,708859,ms_merge|WORMS:708859,Antillogorgia americana,coral,ok,TRUE,1,TRUE
am|W-Ant-283901,ax|283901,283901,ms_merge|WORMS:283901,Antipathes gracilis,coral,ok,TRUE,1,TRUE
am|SLB-62379,NA,1487790,ms_merge|WORMS:1487790,Astraeosmilia curvata,coral,absent_in_mask,FALSE,1,NA
am|SLB-62428,ax|1487798,1487798,ms_merge|WORMS:1487798,Astraeosmilia maxima,coral,ok,TRUE,1,TRUE
am|W-Scl-157967,ax|157967,157967,ms_merge|WORMS:157967,Astrangia poculata,coral,ok,TRUE,1,TRUE
am|W-Scl-287125,ax|287125,287125,ms_merge|WORMS:287125,Astrangia solitaria,coral,ok,TRUE,1,TRUE
am|SLB-62473,ax|762420,762420,ms_merge|WORMS:762420,Astrea annuligera,coral,ok,TRUE,1,TRUE
am|SLB-62475,ax|762421,762421,ms_merge|WORMS:762421,Astrea curta,coral,ok,TRUE,1,TRUE
am|W-Scl-287943,ax|287943,287943,ms_merge|WORMS:287943,Astreopora cucullata,coral,ok,TRUE,1,TRUE
am|W-Scl-207129,NA,207129,ms_merge|WORMS:207129,Astreopora expansa,coral,absent_in_mask,FALSE,1,NA
am|W-Scl-207124,ax|207124,207124,ms_merge|WORMS:207124,Astreopora gracilis,coral,ok,TRUE,1,TRUE
am|W-Scl-207125,ax|207125,207125,ms_merge|WORMS:207125,Astreopora listeri,coral,ok,TRUE,1,TRUE
am|W-Scl-287946,NA,287946,ms_merge|WORMS:287946,Astreopora macrostoma,coral,absent_in_mask,FALSE,1,NA
am|W-Scl-207128,ax|207128,207128,ms_merge|WORMS:207128,Astreopora myriophthalma,coral,ok,TRUE,1,TRUE
am|W-Scl-207123,ax|207123,207123,ms_merge|WORMS:207123,Astreopora ocellata,coral,ok,TRUE,1,TRUE
am|W-Scl-207127,ax|207127,207127,ms_merge|WORMS:207127,Astreopora randalli,coral,ok,TRUE,1,TRUE
am|W-Scl-430660,ax|430660,430660,ms_merge|WORMS:430660,Astreopora scabra,coral,ok,TRUE,1,TRUE
am|W-Scl-287948,ax|287948,287948,ms_merge|WORMS:287948,Astreopora suggesta,coral,ok,TRUE,1,TRUE
am|SLB-62207,ax|286912,286912,ms_merge|WORMS:286912,Balanophyllia (Balanophyllia) crassitheca,coral,ok,TRUE,1,TRUE
am|SLB-62209,ax|286913,286913,ms_merge|WORMS:286913,Balanophyllia (Balanophyllia) cyathoides,coral,ok,TRUE,1,TRUE
am|SLB-62217,ax|286920,286920,ms_merge|WORMS:286920,Balanophyllia (Balanophyllia) elegans,coral,ok,TRUE,1,TRUE
am|SLB-62221,ax|286923,286923,ms_merge|WORMS:286923,Balanophyllia (Balanophyllia) floridana,coral,ok,TRUE,1,TRUE
am|SLB-62234,ax|286936,286936,ms_merge|WORMS:286936,Balanophyllia (Balanophyllia) palifera,coral,ok,TRUE,1,TRUE
am|W-Ant-103323,ax|103323,103323,ms_merge|WORMS:103323,Bathypathes patula,coral,ok,TRUE,1,TRUE
am|W-Scl-289503,ax|289503,289503,ms_merge|WORMS:289503,Bathypsammia tintinnabulum,coral,ok,TRUE,1,TRUE
am|W-Oct-286340,ax|286340,286340,ms_merge|WORMS:286340,Bebryce cinerea,coral,ok,TRUE,1,TRUE
am|W-Oct-286342,ax|286342,286342,ms_merge|WORMS:286342,Bebryce grandis,coral,ok,TRUE,1,TRUE
am|W-Oct-286346,ax|286346,286346,ms_merge|WORMS:286346,Bebryce parastellata,coral,ok,TRUE,1,TRUE
am|W-Scl-207385,NA,207385,ms_merge|WORMS:207385,Blastomussa merleti,coral,absent_in_mask,FALSE,1,NA
am|W-Scl-207386,NA,207386,ms_merge|WORMS:207386,Blastomussa wellsi,coral,absent_in_mask,FALSE,1,NA
am|W-Hex-288925,ax|288925,288925,ms_merge|WORMS:288925,Boloceroides mcmurrichi,coral,ok,TRUE,1,TRUE
am|W-Scl-289532,ax|289532,289532,ms_merge|WORMS:289532,Bourneotrochus stellulatus,coral,ok,TRUE,1,TRUE
am|W-Oct-289534,ax|289534,289534,ms_merge|WORMS:289534,Briareum asbestinum,coral,ok,TRUE,1,TRUE
am|W-Oct-378316,ax|378316,378316,ms_merge|WORMS:378316,Calcigorgia spiculifera,coral,ok,TRUE,1,TRUE
am|W-Oct-395098,ax|395098,395098,ms_merge|WORMS:395098,Carijoa riisei,coral,ok,TRUE,1,TRUE
am|SLB-61923,ax|286727,286727,ms_merge|WORMS:286727,Caryophyllia (Caryophyllia) antillarum,coral,ok,TRUE,1,TRUE
am|SLB-61928,ax|286731,286731,ms_merge|WORMS:286731,Caryophyllia (Caryophyllia) berteriana,coral,ok,TRUE,1,TRUE
am|SLB-186689,ax|503251,503251,ms_merge|WORMS:503251,Caryophyllia (Caryophyllia) concreta,coral,ok,TRUE,1,TRUE
am|SLB-61939,ax|135139,135139,ms_merge|WORMS:135139,Caryophyllia (Caryophyllia) diomedeae,coral,ok,TRUE,1,TRUE
am|SLB-61945,ax|286745,286745,ms_merge|WORMS:286745,Caryophyllia (Caryophyllia) hawaiiensis,coral,ok,TRUE,1,TRUE
