taxon_id,scientific_name,sp_cat,ax_status,n_shared,n_am_only,n_ax_only,mean_am,mean_ax,cor,mean_am_all,mean_ax_all,delta,jaccard,delta_PA,delta_AT,delta_AK,delta_other,delta_GA,n_shared_PA,n_shared_AT,n_shared_AK,n_shared_other,n_shared_GA
286936,Balanophyllia (Balanophyllia) palifera,coral,ok,34784,5113,26375,55.244,62.074,0.463,54.742,45.36,6.83,0.525,NA,5.976,NA,38.465,5.292,NA,18853,NA,1224,14707
730686,Isopora palifera,coral,ok,3258,4133,7921,25.585,26.726,0.249,20.865,14.277,1.142,0.213,1.142,NA,NA,NA,NA,3258,NA,NA,NA,NA
207023,Acropora millepora,coral,ok,3289,1775,11536,28.423,10.456,0.252,26.403,5.301,-17.967,0.198,-17.967,NA,NA,NA,NA,3289,NA,NA,NA,NA
207198,Alveopora spongiosa,coral,ok,3952,1465,27020,28.283,60.06,0.138,24.308,42.35,31.777,0.122,31.777,NA,NA,NA,NA,3952,NA,NA,NA,NA
289691,Colangia immersa,coral,ok,26468,14615,6308,55.982,47.777,0.463,59.467,46.219,-8.205,0.559,NA,-0.75,NA,3.989,-33.977,NA,18417,NA,1849,6202
207350,Fungia fungites,coral,ok,3906,13193,8009,20.163,25.538,0.272,21.977,12.627,5.375,0.156,5.375,NA,NA,NA,NA,3906,NA,NA,NA,NA
1469809,Duncanopsammia peltata,coral,ok,20,4439,962,49.2,9.675,0.292,16.363,6.063,-39.525,0.004,-39.525,NA,NA,NA,NA,20,NA,NA,NA,NA
207291,Leptoseris hawaiiensis,coral,ok,11782,8105,19630,32.16,22.803,0.403,27.761,11.041,-9.357,0.298,-9.357,NA,NA,NA,NA,11782,NA,NA,0,NA
207392,Lobophyllia hemprichii,coral,ok,2838,15443,3415,24.926,12.242,0.183,24.319,7.401,-12.684,0.131,-12.684,NA,NA,NA,NA,2838,NA,NA,NA,NA
207032,Acropora yongei,coral,ok,0,3967,161,NA,NA,NA,13.066,15.675,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
716552,Cycloseris sinensis,coral,ok,2250,2520,63973,16.092,50.947,-0.156,17.193,35.028,34.855,0.033,34.855,NA,NA,NA,NA,2250,NA,NA,NA,NA
289919,Erythropodium caribaeorum,coral,ok,15500,11312,8934,39.962,46.902,0.462,41.102,45.696,6.94,0.434,NA,10.525,NA,0.981,-1.385,NA,10490,NA,1735,3275
716444,Cycloseris curvata,coral,absent_in_mask,0,2457,0,NA,NA,NA,10.597,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
207445,Favites rotundata,coral,ok,67,1664,3322,3.447,31.467,0.319,5.053,11.244,28.02,0.013,28.02,NA,NA,NA,NA,67,NA,NA,NA,NA
730687,Isopora cuneata,coral,ok,3014,4778,15378,27.891,16.621,0.25,22.37,6.53,-11.27,0.13,-11.27,NA,NA,NA,NA,3014,NA,NA,NA,NA
288027,Goniastrea minuta,coral,ok,0,1775,4451,NA,NA,NA,3.913,20.947,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
287912,Agaricia fragilis,coral,ok,10582,12309,1619,72.441,74.53,0.481,58.322,69.731,2.089,0.432,NA,-11.051,NA,-2.491,7.902,NA,2863,NA,698,7021
1487798,Astraeosmilia maxima,coral,ok,1506,1,15605,3.409,68.162,0.171,3.408,42.801,64.753,0.088,64.753,NA,NA,NA,NA,1506,NA,NA,NA,NA
288198,Acropora donei,coral,ok,0,4193,5339,NA,NA,NA,17.894,11.555,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
283836,Corynactis californica,coral,ok,8396,12547,3936,52.151,68.932,0.283,34.419,57.776,16.781,0.337,17.767,NA,14.249,16.192,NA,5298,NA,1751,1347,NA
207325,Cycloseris costulata,coral,ok,3272,1067,19712,29.332,60.287,0.094,28.04,37.738,30.955,0.136,30.955,NA,NA,NA,NA,3272,NA,NA,NA,NA
