dataset_id,variable,fill_value,color_bar_maximum,color_bar_minimum,ioos_category,long_name,units,color_bar_scale,standard_name,color_bar_palette
tas_baseline_2000_2020_depthsurf,tas_ltmax,-9999.9,313.0,263.0,Temperature,Long-term maximum AirTemperature,K,NA,NA,NA
tas_baseline_2000_2020_depthsurf,tas_ltmin,-9999.9,313.0,263.0,Temperature,Long-term minimum AirTemperature,K,NA,NA,NA
tas_baseline_2000_2020_depthsurf,tas_max,-9999.9,313.0,263.0,Temperature,Maximum AirTemperature,K,NA,NA,NA
tas_baseline_2000_2020_depthsurf,tas_mean,-9999.9,313.0,263.0,Temperature,Average AirTemperature,K,NA,NA,NA
tas_baseline_2000_2020_depthsurf,tas_min,-9999.9,313.0,263.0,Temperature,Minimum AirTemperature,K,NA,NA,NA
tas_baseline_2000_2020_depthsurf,tas_range,-9999.9,313.0,263.0,Temperature,Range AirTemperature,K,NA,NA,NA
tas_ssp119_2020_2100_depthsurf,tas_ltmax,-9999.9,40.0,-10.0,Temperature,Long-term maximum AirTemperature,degree_C,NA,NA,NA
tas_ssp119_2020_2100_depthsurf,tas_ltmin,-9999.9,40.0,-10.0,Temperature,Long-term minimum AirTemperature,degree_C,NA,NA,NA
tas_ssp119_2020_2100_depthsurf,tas_max,-9999.9,40.0,-10.0,Temperature,Maximum AirTemperature,degree_C,NA,NA,NA
tas_ssp119_2020_2100_depthsurf,tas_mean,-9999.9,40.0,-10.0,Temperature,Average AirTemperature,degree_C,NA,NA,NA
tas_ssp119_2020_2100_depthsurf,tas_min,-9999.9,40.0,-10.0,Temperature,Minimum AirTemperature,degree_C,NA,NA,NA
tas_ssp119_2020_2100_depthsurf,tas_range,-9999.9,40.0,-10.0,Temperature,Range AirTemperature,degree_C,NA,NA,NA
tas_ssp119_2020_2100_depthsurf,tas_sd,-9999.9,5.0,0.0,Statistics,Standard deviation AirTemperature,degree_C,NA,NA,NA
tas_ssp126_2020_2100_depthsurf,tas_ltmax,-9999.9,40.0,-10.0,Temperature,Long-term maximum AirTemperature,degree_C,NA,NA,NA
tas_ssp126_2020_2100_depthsurf,tas_ltmin,-9999.9,40.0,-10.0,Temperature,Long-term minimum AirTemperature,degree_C,NA,NA,NA
tas_ssp126_2020_2100_depthsurf,tas_max,-9999.9,40.0,-10.0,Temperature,Maximum AirTemperature,degree_C,NA,NA,NA
tas_ssp126_2020_2100_depthsurf,tas_mean,-9999.9,40.0,-10.0,Temperature,Average AirTemperature,degree_C,NA,NA,NA
tas_ssp126_2020_2100_depthsurf,tas_min,-9999.9,40.0,-10.0,Temperature,Minimum AirTemperature,degree_C,NA,NA,NA
tas_ssp126_2020_2100_depthsurf,tas_range,-9999.9,40.0,-10.0,Temperature,Range AirTemperature,degree_C,NA,NA,NA
tas_ssp126_2020_2100_depthsurf,tas_sd,-9999.9,5.0,0.0,Statistics,Standard deviation AirTemperature,degree_C,NA,NA,NA
tas_ssp245_2020_2100_depthsurf,tas_ltmax,-9999.9,40.0,-10.0,Temperature,Long-term maximum AirTemperature,degree_C,NA,NA,NA
tas_ssp245_2020_2100_depthsurf,tas_ltmin,-9999.9,40.0,-10.0,Temperature,Long-term minimum AirTemperature,degree_C,NA,NA,NA
tas_ssp245_2020_2100_depthsurf,tas_max,-9999.9,40.0,-10.0,Temperature,Maximum AirTemperature,degree_C,NA,NA,NA
tas_ssp245_2020_2100_depthsurf,tas_mean,-9999.9,40.0,-10.0,Temperature,Average AirTemperature,degree_C,NA,NA,NA
tas_ssp245_2020_2100_depthsurf,tas_min,-9999.9,40.0,-10.0,Temperature,Minimum AirTemperature,degree_C,NA,NA,NA
tas_ssp245_2020_2100_depthsurf,tas_range,-9999.9,40.0,-10.0,Temperature,Range AirTemperature,degree_C,NA,NA,NA
tas_ssp245_2020_2100_depthsurf,tas_sd,-9999.9,5.0,0.0,Statistics,Standard deviation AirTemperature,degree_C,NA,NA,NA
tas_ssp370_2020_2100_depthsurf,tas_ltmax,-9999.9,40.0,-10.0,Temperature,Long-term maximum AirTemperature,degree_C,NA,NA,NA
tas_ssp370_2020_2100_depthsurf,tas_ltmin,-9999.9,40.0,-10.0,Temperature,Long-term minimum AirTemperature,degree_C,NA,NA,NA
tas_ssp370_2020_2100_depthsurf,tas_max,-9999.9,40.0,-10.0,Temperature,Maximum AirTemperature,degree_C,NA,NA,NA
tas_ssp370_2020_2100_depthsurf,tas_mean,-9999.9,40.0,-10.0,Temperature,Average AirTemperature,degree_C,NA,NA,NA
tas_ssp370_2020_2100_depthsurf,tas_min,-9999.9,40.0,-10.0,Temperature,Minimum AirTemperature,degree_C,NA,NA,NA
tas_ssp370_2020_2100_depthsurf,tas_range,-9999.9,40.0,-10.0,Temperature,Range AirTemperature,degree_C,NA,NA,NA
tas_ssp370_2020_2100_depthsurf,tas_sd,-9999.9,5.0,0.0,Statistics,Standard deviation AirTemperature,degree_C,NA,NA,NA
tas_ssp460_2020_2100_depthsurf,tas_ltmax,-9999.9,40.0,-10.0,Temperature,Long-term maximum AirTemperature,degree_C,NA,NA,NA
tas_ssp460_2020_2100_depthsurf,tas_ltmin,-9999.9,40.0,-10.0,Temperature,Long-term minimum AirTemperature,degree_C,NA,NA,NA
