dataset_id,category,scenario,year_min,year_max,depth,title,summary,variables
tas_baseline_2000_2020_depthsurf,tas,baseline,2000,2020,depthsurf,Bio-Oracle AirTemperature [depthSurf] Baseline 2000-2020.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
tas_max (Maximum AirTemperature, K)
tas_ltmax (Long-term maximum AirTemperature, K)
tas_mean (Average AirTemperature, K)
tas_ltmin (Long-term minimum AirTemperature, K)
tas_min (Minimum AirTemperature, K)
tas_range (Range AirTemperature, K)
","tas_ltmax, tas_ltmin, tas_max, tas_mean, tas_min, tas_range"
tas_ssp119_2020_2100_depthsurf,tas,ssp119,2020,2100,depthsurf,Bio-Oracle AirTemperature [depthSurf] SSP119 2020-2100.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
tas_max (Maximum AirTemperature, degree_C)
tas_ltmax (Long-term maximum AirTemperature, degree_C)
tas_mean (Average AirTemperature, degree_C)
tas_ltmin (Long-term minimum AirTemperature, degree_C)
tas_min (Minimum AirTemperature, degree_C)
tas_range (Range AirTemperature, degree_C)
tas_sd (Standard deviation AirTemperature, degree_C)
","tas_ltmax, tas_ltmin, tas_max, tas_mean, tas_min, tas_range, tas_sd"
tas_ssp126_2020_2100_depthsurf,tas,ssp126,2020,2100,depthsurf,Bio-Oracle AirTemperature [depthSurf] SSP126 2020-2100.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
tas_max (Maximum AirTemperature, degree_C)
tas_ltmax (Long-term maximum AirTemperature, degree_C)
tas_mean (Average AirTemperature, degree_C)
tas_ltmin (Long-term minimum AirTemperature, degree_C)
tas_min (Minimum AirTemperature, degree_C)
tas_range (Range AirTemperature, degree_C)
tas_sd (Standard deviation AirTemperature, degree_C)
","tas_ltmax, tas_ltmin, tas_max, tas_mean, tas_min, tas_range, tas_sd"
tas_ssp245_2020_2100_depthsurf,tas,ssp245,2020,2100,depthsurf,Bio-Oracle AirTemperature [depthSurf] SSP245 2020-2100.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
tas_max (Maximum AirTemperature, degree_C)
tas_ltmax (Long-term maximum AirTemperature, degree_C)
tas_mean (Average AirTemperature, degree_C)
tas_ltmin (Long-term minimum AirTemperature, degree_C)
tas_min (Minimum AirTemperature, degree_C)
tas_range (Range AirTemperature, degree_C)
tas_sd (Standard deviation AirTemperature, degree_C)
","tas_ltmax, tas_ltmin, tas_max, tas_mean, tas_min, tas_range, tas_sd"
tas_ssp370_2020_2100_depthsurf,tas,ssp370,2020,2100,depthsurf,Bio-Oracle AirTemperature [depthSurf] SSP370 2020-2100.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
tas_max (Maximum AirTemperature, degree_C)
tas_ltmax (Long-term maximum AirTemperature, degree_C)
tas_mean (Average AirTemperature, degree_C)
tas_ltmin (Long-term minimum AirTemperature, degree_C)
tas_min (Minimum AirTemperature, degree_C)
tas_range (Range AirTemperature, degree_C)
tas_sd (Standard deviation AirTemperature, degree_C)
","tas_ltmax, tas_ltmin, tas_max, tas_mean, tas_min, tas_range, tas_sd"
tas_ssp460_2020_2100_depthsurf,tas,ssp460,2020,2100,depthsurf,Bio-Oracle AirTemperature [depthSurf] SSP460 2020-2100.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
tas_max (Maximum AirTemperature, degree_C)
tas_ltmax (Long-term maximum AirTemperature, degree_C)
tas_mean (Average AirTemperature, degree_C)
tas_ltmin (Long-term minimum AirTemperature, degree_C)
tas_min (Minimum AirTemperature, degree_C)
tas_range (Range AirTemperature, degree_C)
tas_sd (Standard deviation AirTemperature, degree_C)
","tas_ltmax, tas_ltmin, tas_max, tas_mean, tas_min, tas_range, tas_sd"
tas_ssp585_2020_2100_depthsurf,tas,ssp585,2020,2100,depthsurf,Bio-Oracle AirTemperature [depthSurf] SSP585 2020-2100.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
tas_max (Maximum AirTemperature, degree_C)
tas_ltmax (Long-term maximum AirTemperature, degree_C)
tas_mean (Average AirTemperature, degree_C)
tas_ltmin (Long-term minimum AirTemperature, degree_C)
tas_min (Minimum AirTemperature, degree_C)
tas_range (Range AirTemperature, degree_C)
tas_sd (Standard deviation AirTemperature, degree_C)
","tas_ltmax, tas_ltmin, tas_max, tas_mean, tas_min, tas_range, tas_sd"
chl_baseline_2000_2018_depthmax,chl,baseline,2000,2018,depthmax,Bio-Oracle Chlorophyll [depthMax] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
chl_max (Maximum Chlorophyll, mg m-3)
chl_ltmax (Long-term maximum Chlorophyll, mg m-3)
chl_mean (Average Chlorophyll, mg m-3)
chl_ltmin (Long-term minimum Chlorophyll, mg m-3)
chl_min (Minimum Chlorophyll, mg m-3)
chl_range (Range Chlorophyll, mg m-3)
","chl_ltmax, chl_ltmin, chl_max, chl_mean, chl_min, chl_range"
chl_baseline_2000_2018_depthmean,chl,baseline,2000,2018,depthmean,Bio-Oracle Chlorophyll [depthMean] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
chl_max (Maximum Chlorophyll, mg m-3)
chl_ltmax (Long-term maximum Chlorophyll, mg m-3)
chl_mean (Average Chlorophyll, mg m-3)
chl_ltmin (Long-term minimum Chlorophyll, mg m-3)
chl_min (Minimum Chlorophyll, mg m-3)
chl_range (Range Chlorophyll, mg m-3)
","chl_ltmax, chl_ltmin, chl_max, chl_mean, chl_min, chl_range"
chl_baseline_2000_2018_depthmin,chl,baseline,2000,2018,depthmin,Bio-Oracle Chlorophyll [depthMin] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
chl_max (Maximum Chlorophyll, mg m-3)
chl_ltmax (Long-term maximum Chlorophyll, mg m-3)
chl_mean (Average Chlorophyll, mg m-3)
chl_ltmin (Long-term minimum Chlorophyll, mg m-3)
chl_min (Minimum Chlorophyll, mg m-3)
chl_range (Range Chlorophyll, mg m-3)
","chl_ltmax, chl_ltmin, chl_max, chl_mean, chl_min, chl_range"
