dataset_id,category,scenario,year_min,year_max,depth,title,summary,variables
tas_baseline_2000_2020_depthsurf,tas,baseline,2000,2020,depthsurf,Bio-Oracle AirTemperature [depthSurf] Baseline 2000-2020.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
tas_max (Maximum AirTemperature, K)
tas_ltmax (Long-term maximum AirTemperature, K)
tas_mean (Average AirTemperature, K)
tas_ltmin (Long-term minimum AirTemperature, K)
tas_min (Minimum AirTemperature, K)
tas_range (Range AirTemperature, K)
","tas_ltmax, tas_ltmin, tas_max, tas_mean, tas_min, tas_range"
chl_baseline_2000_2018_depthmax,chl,baseline,2000,2018,depthmax,Bio-Oracle Chlorophyll [depthMax] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
chl_max (Maximum Chlorophyll, mg m-3)
chl_ltmax (Long-term maximum Chlorophyll, mg m-3)
chl_mean (Average Chlorophyll, mg m-3)
chl_ltmin (Long-term minimum Chlorophyll, mg m-3)
chl_min (Minimum Chlorophyll, mg m-3)
chl_range (Range Chlorophyll, mg m-3)
","chl_ltmax, chl_ltmin, chl_max, chl_mean, chl_min, chl_range"
chl_baseline_2000_2018_depthmean,chl,baseline,2000,2018,depthmean,Bio-Oracle Chlorophyll [depthMean] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
chl_max (Maximum Chlorophyll, mg m-3)
chl_ltmax (Long-term maximum Chlorophyll, mg m-3)
chl_mean (Average Chlorophyll, mg m-3)
chl_ltmin (Long-term minimum Chlorophyll, mg m-3)
chl_min (Minimum Chlorophyll, mg m-3)
chl_range (Range Chlorophyll, mg m-3)
","chl_ltmax, chl_ltmin, chl_max, chl_mean, chl_min, chl_range"
chl_baseline_2000_2018_depthmin,chl,baseline,2000,2018,depthmin,Bio-Oracle Chlorophyll [depthMin] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
chl_max (Maximum Chlorophyll, mg m-3)
chl_ltmax (Long-term maximum Chlorophyll, mg m-3)
chl_mean (Average Chlorophyll, mg m-3)
chl_ltmin (Long-term minimum Chlorophyll, mg m-3)
chl_min (Minimum Chlorophyll, mg m-3)
chl_range (Range Chlorophyll, mg m-3)
","chl_ltmax, chl_ltmin, chl_max, chl_mean, chl_min, chl_range"
chl_baseline_2000_2018_depthsurf,chl,baseline,2000,2018,depthsurf,Bio-Oracle Chlorophyll [depthSurf] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
chl_max (Maximum Chlorophyll, mg m-3)
chl_ltmax (Long-term maximum Chlorophyll, mg m-3)
chl_mean (Average Chlorophyll, mg m-3)
chl_ltmin (Long-term minimum Chlorophyll, mg m-3)
chl_min (Minimum Chlorophyll, mg m-3)
chl_range (Range Chlorophyll, mg m-3)
","chl_ltmax, chl_ltmin, chl_max, chl_mean, chl_min, chl_range"
dfe_baseline_2000_2018_depthmax,dfe,baseline,2000,2018,depthmax,Bio-Oracle DissolvedIron [depthMax] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
dfe_max (Maximum DissolvedIron, MMol' 'M-3)
dfe_ltmax (Long-term maximum DissolvedIron, MMol' 'M-3)
dfe_mean (Average DissolvedIron, MMol' 'M-3)
dfe_ltmin (Long-term minimum DissolvedIron, MMol' 'M-3)
dfe_min (Minimum DissolvedIron, MMol' 'M-3)
dfe_range (Range DissolvedIron, MMol' 'M-3)
","dfe_ltmax, dfe_ltmin, dfe_max, dfe_mean, dfe_min, dfe_range"
dfe_baseline_2000_2018_depthmean,dfe,baseline,2000,2018,depthmean,Bio-Oracle DissolvedIron [depthMean] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
dfe_max (Maximum DissolvedIron, MMol' 'M-3)
dfe_ltmax (Long-term maximum DissolvedIron, MMol' 'M-3)
dfe_mean (Average DissolvedIron, MMol' 'M-3)
dfe_ltmin (Long-term minimum DissolvedIron, MMol' 'M-3)
dfe_min (Minimum DissolvedIron, MMol' 'M-3)
dfe_range (Range DissolvedIron, MMol' 'M-3)
","dfe_ltmax, dfe_ltmin, dfe_max, dfe_mean, dfe_min, dfe_range"
dfe_baseline_2000_2018_depthmin,dfe,baseline,2000,2018,depthmin,Bio-Oracle DissolvedIron [depthMin] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
dfe_max (Maximum DissolvedIron, MMol' 'M-3)
dfe_ltmax (Long-term maximum DissolvedIron, MMol' 'M-3)
dfe_mean (Average DissolvedIron, MMol' 'M-3)
dfe_ltmin (Long-term minimum DissolvedIron, MMol' 'M-3)
dfe_min (Minimum DissolvedIron, MMol' 'M-3)
dfe_range (Range DissolvedIron, MMol' 'M-3)
","dfe_ltmax, dfe_ltmin, dfe_max, dfe_mean, dfe_min, dfe_range"
dfe_baseline_2000_2018_depthsurf,dfe,baseline,2000,2018,depthsurf,Bio-Oracle DissolvedIron [depthSurf] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
dfe_max (Maximum DissolvedIron, MMol' 'M-3)
dfe_ltmax (Long-term maximum DissolvedIron, MMol' 'M-3)
dfe_mean (Average DissolvedIron, MMol' 'M-3)
dfe_ltmin (Long-term minimum DissolvedIron, MMol' 'M-3)
dfe_min (Minimum DissolvedIron, MMol' 'M-3)
dfe_range (Range DissolvedIron, MMol' 'M-3)
","dfe_ltmax, dfe_ltmin, dfe_max, dfe_mean, dfe_min, dfe_range"
o2_baseline_2000_2018_depthmax,o2,baseline,2000,2018,depthmax,Bio-Oracle DissolvedMolecularOxygen [depthMax] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
o2_max (Maximum DissolvedMolecularOxygen, MMol' 'M-3)
o2_ltmax (Long-term maximum DissolvedMolecularOxygen, MMol' 'M-3)
o2_mean (Average DissolvedMolecularOxygen, MMol' 'M-3)
o2_ltmin (Long-term minimum DissolvedMolecularOxygen, MMol' 'M-3)
o2_min (Minimum DissolvedMolecularOxygen, MMol' 'M-3)
o2_range (Range DissolvedMolecularOxygen, MMol' 'M-3)
","o2_ltmax, o2_ltmin, o2_max, o2_mean, o2_min, o2_range"
