worms_id,botw_id,redlist_code,worms_id_url,scientific_names_dataset,scientific_names_dataset_url,scientific_name_accepted,taxon_rank,common_name,taxonomic_group,entity_descriptions,lead_agency,fws_esa,fws_esa_all,is_bcc
430639,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=430639,Acanthastrea brevis,https://ecos.fws.gov/ecp/species/9364,Acanthastrea brevis,Species,No common name,Corals,Wherever found,NMFS,LC,LC,FALSE
288878,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=288878,Acanthastrea hemprichii,https://ecos.fws.gov/ecp/species/9365,Acanthastrea hemprichii,Species,No common name,Corals,Wherever found,NMFS,LC,LC,FALSE
1805509,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1805509,Acipenser oxyrinchus (=oxyrhynchus) desotoi,https://ecos.fws.gov/ecp/species/651,Acipenser desotoi,Species,Gulf sturgeon,Fishes,Wherever found,FWS and NMFS,TN,TN,FALSE
151802,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151802,Acipenser oxyrinchus oxyrinchus,https://ecos.fws.gov/ecp/species/3252,Acipenser oxyrinchus,Species,Atlantic sturgeon,Fishes,Carolina DPS - See 50 CFR 224.101; Chesapeake Bay DPS - See 50 CFR 224.101; New York Bight DPS - See 50 CFR 224.101; South Atlantic DPS - See 50 CFR 224.101; Gulf of Maine DPS - See 50 CFR 223.102,NMFS,EN,EN,FALSE
126279,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=126279,Acipenser sturio,https://ecos.fws.gov/ecp/species/9750,Acipenser sturio,Species,European sturgeon,Fishes,Wherever found,NMFS,EN,EN,FALSE
206991,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=206991,Acropora aculeus,https://ecos.fws.gov/ecp/species/9327,Acropora aculeus,Species,No common name,Corals,Wherever found,NMFS,LC,LC,FALSE
207020,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207020,Acropora acuminata,https://ecos.fws.gov/ecp/species/9328,Acropora acuminata,Species,No common name,Corals,Wherever found,NMFS,LC,LC,FALSE
207011,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207011,Acropora aspera,https://ecos.fws.gov/ecp/species/9329,Acropora aspera,Species,No common name,Corals,Wherever found,NMFS,LC,LC,FALSE
206989,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=206989,Acropora cervicornis,https://ecos.fws.gov/ecp/species/8929,Acropora cervicornis,Species,Staghorn coral,Corals,Wherever found,NMFS,TN,TN,FALSE
288195,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=288195,Acropora dendrum,https://ecos.fws.gov/ecp/species/9330,Acropora dendrum,Species,No common name,Corals,Wherever found,NMFS,LC,LC,FALSE
288198,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=288198,Acropora donei,https://ecos.fws.gov/ecp/species/9331,Acropora donei,Species,No common name,Corals,Wherever found,NMFS,LC,LC,FALSE
430645,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=430645,Acropora globiceps,https://ecos.fws.gov/ecp/species/9332,Acropora globiceps,Species,No common name,Corals,Wherever found,NMFS,TN,TN,FALSE
207006,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207006,Acropora horrida,https://ecos.fws.gov/ecp/species/9333,Acropora horrida,Species,No common name,Corals,Wherever found,NMFS,LC,LC,FALSE
288212,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=288212,Acropora jacquelineae,https://ecos.fws.gov/ecp/species/9319,Acropora jacquelineae,Species,No common name,Corals,Wherever found,NMFS,TN,TN,FALSE
207057,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207057,Acropora listeri,https://ecos.fws.gov/ecp/species/9334,Acropora listeri,Species,No common name,Corals,Wherever found,NMFS,LC,LC,FALSE
288219,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=288219,Acropora lokani,https://ecos.fws.gov/ecp/species/9320,Acropora lokani,Species,No common name,Corals,Wherever found,NMFS,TN,TN,FALSE
207101,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207101,Acropora microclados,https://ecos.fws.gov/ecp/species/9335,Acropora microclados,Species,No common name,Corals,Wherever found,NMFS,LC,LC,FALSE
288227,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=288227,Acropora palmata,https://ecos.fws.gov/ecp/species/8928,Acropora palmata,Species,Elkhorn coral,Corals,Wherever found,NMFS,TN,TN,FALSE
207049,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207049,Acropora palmerae,https://ecos.fws.gov/ecp/species/9336,Acropora palmerae,Species,No common name,Corals,Wherever found,NMFS,LC,LC,FALSE
207008,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207008,Acropora paniculata,https://ecos.fws.gov/ecp/species/9337,Acropora paniculata,Species,No common name,Corals,Wherever found,NMFS,LC,LC,FALSE
207059,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207059,Acropora pharaonis,https://ecos.fws.gov/ecp/species/9338,Acropora pharaonis,Species,No common name,Corals,Wherever found,NMFS,TN,TN,FALSE
207050,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207050,Acropora polystoma,https://ecos.fws.gov/ecp/species/9339,Acropora polystoma,Species,No common name,Corals,Wherever found,NMFS,LC,LC,FALSE
