spcode,sciname,comname,family,n_features,esa_code,er_code,er_score,is_v7,mdl_key,pct_marine
R00B,Abies fraseri,Fraser fir,Pinaceae,1,LC,FWS:LC,1,FALSE,rng_fws|R00B,0
Q009,Abronia alpina,Ramshaw Meadows sand-verbena,Nyctaginaceae,1,LC,FWS:LC,1,FALSE,rng_fws|Q009,0
Q24E,Abronia macrocarpa,Large-fruited sand-verbena,Nyctaginaceae,1,EN,FWS:EN,100,FALSE,rng_fws|Q24E,0
Q1SJ,Abutilon eremitopetalum,No common name,Malvaceae,1,EN,FWS:EN,100,FALSE,rng_fws|Q1SJ,4.2
Q1SK,Abutilon menziesii,Ko`oloa`ula,Malvaceae,1,EN,FWS:EN,100,FALSE,rng_fws|Q1SK,11.4
Q1SL,Abutilon sandwicense,No common name,Malvaceae,1,EN,FWS:EN,100,FALSE,rng_fws|Q1SL,1.7
Q1SM,Acaena exigua,Liliwai,Rosaceae,1,EN,FWS:EN,100,FALSE,rng_fws|Q1SM,0
Q00E,Acanthomintha ilicifolia,San Diego thornmint,Lamiaceae,1,TN,FWS:TN,50,FALSE,rng_fws|Q00E,1.1
Q24H,Acanthomintha obovata ssp. duttonii,San Mateo thornmint,Lamiaceae,1,EN,FWS:EN,100,FALSE,rng_fws|Q24H,2.8
B06Z,Accipiter striatus venator,Puerto Rican sharp-shinned hawk,Accipitridae,1,EN,FWS:EN,100,TRUE,rng_fws|B06Z,2.7
Q00G,Achyranthes mutica,No common name,Amaranthaceae,1,EN,FWS:EN,100,FALSE,rng_fws|Q00G,0.8
Q00H,Achyranthes splendens splendens,No common name,Amaranthaceae,1,LC,FWS:LC,1,FALSE,rng_fws|Q00H,14.2
Q24I,Achyranthes splendens var. rotundata,Round-leaved chaff-flower,Amaranthaceae,1,EN,FWS:EN,100,FALSE,rng_fws|Q24I,14.2
E00B,Acipenser brevirostrum,Shortnose sturgeon,Acipenseridae,1,EN,FWS:EN,100,TRUE,rng_fws|E00B,24.9
E04X,Acipenser fulvescens,Lake sturgeon,Acipenseridae,1,LC,FWS:LC,1,FALSE,rng_fws|E04X,0
E04W,Acipenser oxyrinchus (=oxyrhynchus) desotoi,Gulf sturgeon,Acipenseridae,1,TN,FWS:TN,50,TRUE,rng_fws|E04W,17
E087,Acipenser transmontanus,White sturgeon,Acipenseridae,1,EN,FWS:EN,100,FALSE,rng_fws|E087,0
Q1YO,Acmispon dendroideus var. traskiae,San Clemente Island lotus (=broom),Fabaceae,1,LC,FWS:LC,1,FALSE,rng_fws|Q1YO,3.2
Q1SN,Aconitum noveboracense,Northern wild monkshood,Ranunculaceae,1,TN,FWS:TN,50,FALSE,rng_fws|Q1SN,0
B00G,Acrocephalus familiaris kingi,Nihoa millerbird (old world warbler),Muscicapidae,1,EN,FWS:EN,100,TRUE,rng_fws|B00G,15.5
B043,Acrocephalus luscinia,Nightingale reed warbler (old world warbler),Sylviidae,1,EN,FWS:EN,100,TRUE,rng_fws|B043,25.4
C04U,Actinemys marmorata,Northwestern Pond Turtle,Emydidae,1,TN,FWS:TN,50,FALSE,rng_fws|C04U,1.5
C04V,Actinemys pallida,Southwestern pond turtle,Emydidae,1,TN,FWS:TN,50,FALSE,rng_fws|C04V,1.9
J000,Adelocosa anops,Kauai cave wolf or pe'e pe'e maka 'ole spider,Lycosidae,1,EN,FWS:EN,100,FALSE,rng_fws|J000,75.2
S00M,Adenophorus periens,Palai la`au,Polypodiaceae,1,EN,FWS:EN,100,FALSE,rng_fws|S00M,1.2
S01O,Adiantum vivesii,No common name,Adiantaceae,1,LC,FWS:LC,1,FALSE,rng_fws|S01O,0
B0GX,Aegolius acadicus,Northern Saw-whet Owl,Strigidae,1,LC,FWS:LC,1,FALSE,rng_fws|B0GX,0
B091,Aerodramus bartschi,Mariana swiftlet,Apodidae,1,EN,FWS:EN,100,TRUE,rng_fws|B091,17.5
Q24J,Aeschynomene virginica,Sensitive joint-vetch,Fabaceae,1,TN,FWS:TN,50,FALSE,rng_fws|Q24J,26.1
Q24K,Agalinis acuta,Sandplain gerardia,Scrophulariaceae,1,EN,FWS:EN,100,FALSE,rng_fws|Q24K,8.5
Q3O8,Agalinis calycina,Leoncita false-foxglove,Orobanchaceae,1,LC,FWS:LC,1,FALSE,rng_fws|Q3O8,0
