scientific_name,reason
Abalistes filamentosus,iucn_range_outside_us_eez
Abalistes stellatus,iucn_range_outside_us_eez
Abantennarius sanguineus,iucn_range_outside_us_eez
Ablabys taenianotus,iucn_range_outside_us_eez
Abudefduf lorenzi,iucn_range_outside_us_eez
Abudefduf notatus,iucn_range_outside_us_eez
Acanthastrea pachysepta,iucn_range_outside_us_eez
Acanthemblemaria hastingsi,iucn_range_outside_us_eez
Acanthochromis polyacanthus,iucn_range_outside_us_eez
Acanthopsetta nadeshnyi,iucn_range_outside_us_eez
Acanthosphex leurynnis,iucn_range_outside_us_eez
Acanthurus fowleri,iucn_range_outside_us_eez
Acanthurus japonicus,iucn_range_outside_us_eez
Acentrogobius audax,iucn_range_outside_us_eez
Acentrogobius caninus,iucn_range_outside_us_eez
Acentrogobius cyanomos,iucn_range_outside_us_eez
Acentrogobius janthinopterus,iucn_range_outside_us_eez
Acentrogobius moloanus,iucn_range_outside_us_eez
Acentrogobius multifasciatus,iucn_range_outside_us_eez
Acentrogobius viridipunctatus,iucn_range_outside_us_eez
Acentronura tentaculata,iucn_range_outside_us_eez
Achirus achirus,iucn_range_outside_us_eez
Achirus scutum,iucn_range_outside_us_eez
Acreichthys hajam,iucn_range_outside_us_eez
Acreichthys radiatus,iucn_range_outside_us_eez
Acreichthys tomentosus,iucn_range_outside_us_eez
Acropora abrolhosensis,iucn_range_outside_us_eez
Acropora caroliniana,iucn_range_outside_us_eez
Acropora exquisita,iucn_range_outside_us_eez
Acropora halmaherae,iucn_range_outside_us_eez
Acropora kimbeensis,iucn_range_outside_us_eez
Acropora kirstyae,iucn_range_outside_us_eez
Acropora mirabilis,iucn_range_outside_us_eez
Acropora multiacuta,iucn_range_outside_us_eez
Acropora pichoni,iucn_range_outside_us_eez
Acropora plumosa,iucn_range_outside_us_eez
Acropora spathulata,iucn_range_outside_us_eez
Acropora spicifera,iucn_range_outside_us_eez
Acropora turaki,iucn_range_outside_us_eez
Acropora willisae,iucn_range_outside_us_eez
Aeoliscus strigatus,iucn_range_outside_us_eez
Aesopia cornuta,iucn_range_outside_us_eez
Aetobatus flagellum,iucn_range_outside_us_eez
Aetomylaeus caeruleofasciatus,iucn_range_outside_us_eez
Aetomylaeus maculatus,iucn_range_outside_us_eez
Aetomylaeus milvus,iucn_range_outside_us_eez
Aetomylaeus vespertilio,iucn_range_outside_us_eez
Aioliops novaeguineae,iucn_range_outside_us_eez
Albula oligolepis,iucn_range_outside_us_eez
Alectis indica,iucn_range_outside_us_eez
Alepes apercna,iucn_range_outside_us_eez
Alepes djedaba,iucn_range_outside_us_eez
Alepes vari,iucn_range_outside_us_eez
Alionematichthys crassiceps,iucn_range_outside_us_eez
Alionematichthys plicatosurculus,iucn_range_outside_us_eez
Alionematichthys riukiuensis,iucn_range_outside_us_eez
Alionematichthys winterbottomi,iucn_range_outside_us_eez
Allenbatrachus grunniens,iucn_range_outside_us_eez
Allocyttus verrucosus,iucn_range_outside_us_eez
Allothunnus fallai,iucn_range_outside_us_eez
Alticus saliens,iucn_range_outside_us_eez
Alticus sertatus,iucn_range_outside_us_eez
Alveopora catalai,iucn_range_outside_us_eez
Alveopora tizardi,iucn_range_outside_us_eez
Ambassis dussumieri,iucn_range_outside_us_eez
Ambassis gymnocephalus,iucn_range_outside_us_eez
Ambassis interrupta,iucn_range_outside_us_eez
Ambassis kopsii,iucn_range_outside_us_eez
Ambassis miops,iucn_range_outside_us_eez
Ambassis nalua,iucn_range_outside_us_eez
Ambassis urotaenia,iucn_range_outside_us_eez
Ambassis vachellii,iucn_range_outside_us_eez
Amblyeleotris diagonalis,iucn_range_outside_us_eez
Amblyeleotris fontanesii,iucn_range_outside_us_eez
Amblyeleotris gymnocephala,iucn_range_outside_us_eez
Amblyeleotris latifasciata,iucn_range_outside_us_eez
Amblyeleotris ogasawarensis,iucn_range_outside_us_eez
Amblyeleotris randalli,iucn_range_outside_us_eez
Amblyeleotris rubrimarginata,iucn_range_outside_us_eez
Amblyeleotris yanoi,iucn_range_outside_us_eez
Amblygaster clupeoides,iucn_range_outside_us_eez
Amblygaster sirm,iucn_range_outside_us_eez
Amblyglyphidodon leucogaster,iucn_range_outside_us_eez
Amblyglyphidodon ternatensis,iucn_range_outside_us_eez
Amblygobius albimaculatus,iucn_range_outside_us_eez
Amblygobius buanensis,iucn_range_outside_us_eez
Amblygobius bynoensis,iucn_range_outside_us_eez
Amblygobius linki,iucn_range_outside_us_eez
Amblygobius sphynx,iucn_range_outside_us_eez
Amblygobius stethophthalmus,iucn_range_outside_us_eez
Amblyotrypauchen arctocephalus,iucn_range_outside_us_eez
Amblypomacentrus breviceps,iucn_range_outside_us_eez
Amblyrhynchote honckenii,iucn_range_outside_us_eez
Amioides polyacanthus,iucn_range_outside_us_eez
Ammodytoides gilli,iucn_range_outside_us_eez
Amphiprion akallopisos,iucn_range_outside_us_eez
Amphiprion akindynos,iucn_range_outside_us_eez
Amphiprion sandaracinos,iucn_range_outside_us_eez
Amphiprion sebae,iucn_range_outside_us_eez
Amsichthys knighti,iucn_range_outside_us_eez
Anacanthus barbatus,iucn_range_outside_us_eez
Anacropora forbesi,iucn_range_outside_us_eez
Anampses elegans,iucn_range_outside_us_eez
Anampses femininus,iucn_range_outside_us_eez
Anampses geographicus,iucn_range_outside_us_eez
Anampses lineatus,iucn_range_outside_us_eez
Anampses neoguinaicus,iucn_range_outside_us_eez
Anarchias galapagensis,iucn_range_outside_us_eez
Ancylopsetta dendritica,iucn_range_outside_us_eez
Ancylopsetta kumperae,iucn_range_outside_us_eez
Ancylopsetta microctenus,iucn_range_outside_us_eez
Andamia reyi,iucn_range_outside_us_eez
Andamia tetradactylus,iucn_range_outside_us_eez
Anguilla anguilla,iucn_range_outside_us_eez
Anguilla celebesensis,iucn_range_outside_us_eez
Anisotremus caesius,iucn_range_outside_us_eez
Anisotremus interruptus,iucn_range_outside_us_eez
Anisotremus taeniatus,iucn_range_outside_us_eez
Anodontostoma chacunda,iucn_range_outside_us_eez
Antennarius biocellatus,iucn_range_outside_us_eez
Antennarius hispidus,iucn_range_outside_us_eez
Antennatus strigatus,iucn_range_outside_us_eez
Aphanopus carbo,iucn_range_outside_us_eez
Aphanopus intermedius,iucn_range_outside_us_eez
Apionichthys dumerili,iucn_range_outside_us_eez
Apistus carinatus,iucn_range_outside_us_eez
Apocryptodon madurensis,iucn_range_outside_us_eez
Apogon americanus,iucn_range_outside_us_eez
Apogon atradorsatus,iucn_range_outside_us_eez
Apogon atricaudus,iucn_range_outside_us_eez
Apogon ceramensis,iucn_range_outside_us_eez
Apogon coccineus,iucn_range_outside_us_eez
Apogon dammermani,iucn_range_outside_us_eez
Apogon dianthus,iucn_range_outside_us_eez
Apogon retrosella,iucn_range_outside_us_eez
Apogon robbyi,iucn_range_outside_us_eez
Apogon unicolor,iucn_range_outside_us_eez
Apogonichthyoides atripes,iucn_range_outside_us_eez
Apogonichthyoides melas,iucn_range_outside_us_eez
Apogonichthyoides niger,iucn_range_outside_us_eez
Apogonichthyoides nigripinnis,iucn_range_outside_us_eez
Apogonichthyoides opercularis,iucn_range_outside_us_eez
Apogonichthyoides timorensis,iucn_range_outside_us_eez
Apogonichthyoides umbratilis,iucn_range_outside_us_eez
Apristurus australis,iucn_range_outside_us_eez
Apristurus fedorovi,iucn_range_outside_us_eez
Apristurus laurussonii,iucn_range_outside_us_eez
Apristurus longicephalus,iucn_range_outside_us_eez
Apristurus platyrhynchus,iucn_range_outside_us_eez
Apterichtus equatorialis,iucn_range_outside_us_eez
Archamia bleekeri,iucn_range_outside_us_eez
Arcos erythrops,iucn_range_outside_us_eez
Arcos rhodospilus,iucn_range_outside_us_eez
Arcygobius baliurus,iucn_range_outside_us_eez
Argentina aliceae,iucn_range_outside_us_eez
Argyripnus pharos,iucn_range_outside_us_eez
Argyrops spinifer,iucn_range_outside_us_eez
Argyrosomus japonicus,iucn_range_outside_us_eez
Ariosoma anago,iucn_range_outside_us_eez
Ariosoma anagoides,iucn_range_outside_us_eez
Ariosoma gilberti,iucn_range_outside_us_eez
Ariosoma howensis,iucn_range_outside_us_eez
Arius arius,iucn_range_outside_us_eez
Arnoglossus brunneus,iucn_range_outside_us_eez
Arnoglossus dalgleishi,iucn_range_outside_us_eez
Arnoglossus elongatus,iucn_range_outside_us_eez
Arnoglossus japonicus,iucn_range_outside_us_eez
Arnoglossus macrolophus,iucn_range_outside_us_eez
Arnoglossus polyspilus,iucn_range_outside_us_eez
Arnoglossus scapha,iucn_range_outside_us_eez
Arnoglossus tapeinosoma,iucn_range_outside_us_eez
Arnoglossus tenuis,iucn_range_outside_us_eez
Arnoglossus waitei,iucn_range_outside_us_eez
Arothron caeruleopunctatus,iucn_range_outside_us_eez
Arothron firmamentum,iucn_range_outside_us_eez
Arothron immaculatus,iucn_range_outside_us_eez
Arotrolepis filicauda,iucn_range_outside_us_eez
Aruma histrio,iucn_range_outside_us_eez
Aseraggodes cyaneus,iucn_range_outside_us_eez
Aseraggodes dubius,iucn_range_outside_us_eez
