family,group,note
Spheniscidae,penguins,seabird
Diomedeidae,albatrosses,seabird
Procellariidae,petrels/shearwaters/fulmars,seabird
Hydrobatidae,northern storm-petrels,seabird
Oceanitidae,southern storm-petrels,seabird
Pelecanoididae,diving-petrels,seabird
Phaethontidae,tropicbirds,seabird
Fregatidae,frigatebirds,seabird
Sulidae,gannets/boobies,seabird
Phalacrocoracidae,cormorants/shags,coastal; freshwater members dropped by pct<5%
Pelecanidae,pelicans,coastal + freshwater; inland dropped by pct<5%
Gaviidae,loons/divers,coastal in winter
Stercorariidae,skuas/jaegers,seabird
Laridae,gulls/terns/skimmers,coastal; inland members dropped by pct<5%
Alcidae,auks/murres/puffins,seabird
Scolopacidae,sandpipers/phalaropes,coastal shorebirds; snipes/woodcocks excluded via curation
Charadriidae,plovers/lapwings,coastal shorebirds; inland lapwings dropped by pct<5%
Haematopodidae,oystercatchers,coastal
Recurvirostridae,avocets/stilts,coastal/wetland
Chionidae,sheathbills,coastal (Antarctic)
Dromadidae,crab-plover,coastal
Pluvianellidae,Magellanic plover,coastal
Podicipedidae,grebes,coastal in winter; freshwater dropped by pct<5%
Anatidae,ducks/geese/swans,sea ducks only; freshwater dropped by pct<5%
