scientific_name,common_name,family,action,reason
Coenocorypha aucklandica,Auckland Snipe,Scolopacidae,exclude,"snipe/woodcock (freshwater/woodland wader, not marine); pct_marine 53.7% inflated by sub-pixel island"
Coenocorypha huegeli,Snares Island Snipe,Scolopacidae,exclude,"snipe/woodcock (freshwater/woodland wader, not marine); pct_marine 85.7% inflated by sub-pixel island"
Coenocorypha pusilla,Chatham Islands Snipe,Scolopacidae,exclude,"snipe/woodcock (freshwater/woodland wader, not marine); pct_marine 100.0% inflated by sub-pixel island"
Gallinago magellanica,Magellanic Snipe,Scolopacidae,exclude,"snipe/woodcock (freshwater/woodland wader, not marine); pct_marine 6.1% inflated by sub-pixel island"
Gallinago stricklandii,Fuegian Snipe,Scolopacidae,exclude,"snipe/woodcock (freshwater/woodland wader, not marine); pct_marine 15.2% inflated by sub-pixel island"
Scolopax mira,Amami Woodcock,Scolopacidae,exclude,"snipe/woodcock (freshwater/woodland wader, not marine); pct_marine 54.3% inflated by sub-pixel island"
Scolopax rochussenii,Moluccan Woodcock,Scolopacidae,exclude,"snipe/woodcock (freshwater/woodland wader, not marine); pct_marine 14.4% inflated by sub-pixel island"
Haematopus ostralegus,Eurasian Oystercatcher,Haematopodidae,include,coastal/marine-associated; whole-range pct_marine 3.0% (inland breeding range dilutes)
Gelochelidon nilotica,Common Gull-billed Tern,Laridae,include,coastal/marine-associated; whole-range pct_marine 3.6% (inland breeding range dilutes)
Hydroprogne caspia,Caspian Tern,Laridae,include,coastal/marine-associated; whole-range pct_marine 3.2% (inland breeding range dilutes)
Larus delawarensis,Ring-billed Gull,Laridae,include,coastal/marine-associated; whole-range pct_marine 1.6% (inland breeding range dilutes)
Rynchops niger,Black Skimmer,Laridae,include,coastal/marine-associated; whole-range pct_marine 1.4% (inland breeding range dilutes)
Nannopterum auritum,Double-crested Cormorant,Phalacrocoracidae,include,coastal/marine-associated; whole-range pct_marine 2.4% (inland breeding range dilutes)
Nannopterum brasilianum,Neotropical Cormorant,Phalacrocoracidae,include,coastal/marine-associated; whole-range pct_marine 1.5% (inland breeding range dilutes)
Phalacrocorax carbo,Great Cormorant,Phalacrocoracidae,include,coastal/marine-associated; whole-range pct_marine 2.0% (inland breeding range dilutes)
Urile pelagicus,Pelagic Cormorant,Phalacrocoracidae,include,coastal/marine-associated; whole-range pct_marine 82.4% (inland breeding range dilutes)
Urile penicillatus,Brandt's Cormorant,Phalacrocoracidae,include,coastal/marine-associated; whole-range pct_marine 84.4% (inland breeding range dilutes)
Aechmophorus clarkii,Clark's Grebe,Podicipedidae,include,coastal/marine-associated; whole-range pct_marine 0.1% (inland breeding range dilutes)
