taxonomic_order,taxonomic_family,taxonomic_subfamily,taxonomic_genus,taxonomic_species,scientific_name,common_name,taxonomic_order2,is_mbta,scientific_name_accepted,botw_id,redlist_code,worms_id,worms_id_url,taxon_rank,is_marine
ANSERIFORMES,ANATIDAE,DENDROCYGNINAE,Dendrocygna,arborea,Dendrocygna arborea,West Indian Whistling-Duck,2,TRUE,Dendrocygna arborea,22679770,NT,422568,https://www.marinespecies.org/aphia.php?p=taxdetails&id=422568,Species,TRUE
ANSERIFORMES,ANATIDAE,ANSERINAE,Anser,canagicus,Anser canagicus,Emperor Goose,4,TRUE,Anser canagicus,22679919,LC,1443775,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1443775,Species,NA
ANSERIFORMES,ANATIDAE,ANSERINAE,Anser,caerulescens,Anser caerulescens,Snow Goose,5,TRUE,Anser caerulescens,22679896,LC,1034711,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1034711,Species,NA
ANSERIFORMES,ANATIDAE,ANSERINAE,Anser,rossii,Anser rossii,Ross's Goose,6,TRUE,Anser rossii,22679909,LC,1488265,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1488265,Species,NA
ANSERIFORMES,ANATIDAE,ANSERINAE,Anser,erythropus,Anser erythropus,Lesser White-fronted Goose,8,TRUE,Anser erythropus,22679886,VU,416684,https://www.marinespecies.org/aphia.php?p=taxdetails&id=416684,Species,TRUE
ANSERIFORMES,ANATIDAE,ANSERINAE,Anser,fabalis,Anser fabalis,Taiga Bean-Goose,9,TRUE,Anser fabalis,22679875,LC,416685,https://www.marinespecies.org/aphia.php?p=taxdetails&id=416685,Species,TRUE
ANSERIFORMES,ANATIDAE,ANSERINAE,Anser,brachyrhynchus,Anser brachyrhynchus,Pink-footed Goose,11,TRUE,Anser brachyrhynchus,22679872,LC,416683,https://www.marinespecies.org/aphia.php?p=taxdetails&id=416683,Species,TRUE
ANSERIFORMES,ANATIDAE,ANSERINAE,Branta,bernicla,Branta bernicla,Brant,12,TRUE,Branta bernicla,22679946,LC,159175,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159175,Species,TRUE
ANSERIFORMES,ANATIDAE,ANSERINAE,Branta,sandvicensis,Branta sandvicensis,Hawaiian Goose,16,TRUE,Branta sandvicensis,22679929,NT,NA,NA,NA,NA
ANSERIFORMES,ANATIDAE,ANATINAE,Sibirionetta,formosa,Sibirionetta formosa,Baikal Teal,22,TRUE,Sibirionetta formosa,22680317,LC,1761393,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1761393,Species,NA
ANSERIFORMES,ANATIDAE,ANATINAE,Spatula,discors,Spatula discors,Blue-winged Teal,24,TRUE,Spatula discors,22680229,LC,1469482,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1469482,Species,NA
ANSERIFORMES,ANATIDAE,ANATINAE,Spatula,cyanoptera,Spatula cyanoptera,Cinnamon Teal,25,TRUE,Spatula cyanoptera,22680233,LC,NA,NA,NA,NA
ANSERIFORMES,ANATIDAE,ANATINAE,Mareca,strepera,Mareca strepera,Gadwall,27,TRUE,Mareca strepera,22680149,LC,1751790,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1751790,Species,NA
ANSERIFORMES,ANATIDAE,ANATINAE,Mareca,falcata,Mareca falcata,Falcated Duck,28,TRUE,Mareca falcata,22680153,LC,NA,NA,NA,NA
ANSERIFORMES,ANATIDAE,ANATINAE,Mareca,americana,Mareca americana,American Wigeon,30,TRUE,Mareca americana,22680163,LC,1506644,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1506644,Species,NA
ANSERIFORMES,ANATIDAE,ANATINAE,Anas,laysanensis,Anas laysanensis,Laysan Duck,31,TRUE,Anas laysanensis,22680203,CR,NA,NA,NA,NA
ANSERIFORMES,ANATIDAE,ANATINAE,Anas,wyvilliana,Anas wyvilliana,Hawaiian Duck,32,TRUE,Anas wyvilliana,22680199,VU,NA,NA,NA,NA
ANSERIFORMES,ANATIDAE,ANATINAE,Anas,zonorhyncha,Anas zonorhyncha,Eastern Spot-billed Duck,33,TRUE,Anas zonorhyncha,22736042,LC,1489647,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1489647,Species,NA
ANSERIFORMES,ANATIDAE,ANATINAE,Anas,platyrhynchos,Anas platyrhynchos,Mallard,34,TRUE,Anas platyrhynchos,22680186,LC,148791,https://www.marinespecies.org/aphia.php?p=taxdetails&id=148791,Species,TRUE
ANSERIFORMES,ANATIDAE,ANATINAE,Anas,fulvigula,Anas fulvigula,Mottled Duck,37,TRUE,Anas fulvigula,22680178,LC,422572,https://www.marinespecies.org/aphia.php?p=taxdetails&id=422572,Species,TRUE
ANSERIFORMES,ANATIDAE,ANATINAE,Anas,bahamensis,Anas bahamensis,White-cheeked Pintail,39,TRUE,Anas bahamensis,22680287,LC,422573,https://www.marinespecies.org/aphia.php?p=taxdetails&id=422573,Species,TRUE
ANSERIFORMES,ANATIDAE,ANATINAE,Anas,crecca,Anas crecca,Green-winged Teal,41,TRUE,Anas crecca,22680321,LC,158943,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158943,Species,TRUE
ANSERIFORMES,ANATIDAE,ANATINAE,Aythya,valisineria,Aythya valisineria,Canvasback,42,TRUE,Aythya valisineria,22680364,LC,159173,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159173,Species,TRUE
ANSERIFORMES,ANATIDAE,ANATINAE,Aythya,baeri,Aythya baeri,Baer's Pochard,45,TRUE,Aythya baeri,22680384,CR,1542664,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1542664,Species,NA
ANSERIFORMES,ANATIDAE,ANATINAE,Aythya,marila,Aythya marila,Greater Scaup,48,TRUE,Aythya marila,22680398,LC,159172,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159172,Species,TRUE
ANSERIFORMES,ANATIDAE,ANATINAE,Polysticta,stelleri,Polysticta stelleri,Steller's Eider,50,TRUE,Polysticta stelleri,22680415,VU,232041,https://www.marinespecies.org/aphia.php?p=taxdetails&id=232041,Species,TRUE
ANSERIFORMES,ANATIDAE,ANATINAE,Somateria,fischeri,Somateria fischeri,Spectacled Eider,51,TRUE,Somateria fischeri,22680412,NT,422886,https://www.marinespecies.org/aphia.php?p=taxdetails&id=422886,Species,TRUE
ANSERIFORMES,ANATIDAE,ANATINAE,Somateria,spectabilis,Somateria spectabilis,King Eider,52,TRUE,Somateria spectabilis,22680409,LC,137075,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137075,Species,TRUE
ANSERIFORMES,ANATIDAE,ANATINAE,Somateria,mollissima,Somateria mollissima,Common Eider,53,TRUE,Somateria mollissima,22680405,NT,137074,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137074,Species,TRUE
ANSERIFORMES,ANATIDAE,ANATINAE,Histrionicus,histrionicus,Histrionicus histrionicus,Harlequin Duck,54,TRUE,Histrionicus histrionicus,22680423,LC,159092,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159092,Species,TRUE
ANSERIFORMES,ANATIDAE,ANATINAE,Melanitta,perspicillata,Melanitta perspicillata,Surf Scoter,55,TRUE,Melanitta perspicillata,22680441,LC,159095,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159095,Species,TRUE
ANSERIFORMES,ANATIDAE,ANATINAE,Melanitta,deglandi,Melanitta deglandi,White-winged Scoter,56,TRUE,Melanitta deglandi,22734194,LC,567404,https://www.marinespecies.org/aphia.php?p=taxdetails&id=567404,Species,TRUE
ANSERIFORMES,ANATIDAE,ANATINAE,Melanitta,nigra,Melanitta nigra,Common Scoter,58,TRUE,Melanitta nigra,22724879,LC,137073,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137073,Species,TRUE
ANSERIFORMES,ANATIDAE,ANATINAE,Melanitta,americana,Melanitta americana,Black Scoter,59,TRUE,Melanitta americana,22732425,NT,366594,https://www.marinespecies.org/aphia.php?p=taxdetails&id=366594,Species,TRUE
ANSERIFORMES,ANATIDAE,ANATINAE,Clangula,hyemalis,Clangula hyemalis,Long-tailed Duck,60,TRUE,Clangula hyemalis,22680427,VU,137071,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137071,Species,TRUE
ANSERIFORMES,ANATIDAE,ANATINAE,Bucephala,albeola,Bucephala albeola,Bufflehead,61,TRUE,Bucephala albeola,22680462,LC,159179,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159179,Species,TRUE
ANSERIFORMES,ANATIDAE,ANATINAE,Mergus,merganser,Mergus merganser,Common Merganser,66,TRUE,Mergus merganser,22680492,LC,159097,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159097,Species,TRUE
ANSERIFORMES,ANATIDAE,ANATINAE,Mergus,serrator,Mergus serrator,Red-breasted Merganser,67,TRUE,Mergus serrator,22680485,LC,159098,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159098,Species,TRUE
PHOENICOPTERIFORMES,PHOENICOPTERIDAE,NA,Phoenicopterus,ruber,Phoenicopterus ruber,American Flamingo,70,TRUE,Phoenicopterus ruber,22729706,LC,212708,https://www.marinespecies.org/aphia.php?p=taxdetails&id=212708,Species,NA
PODICIPEDIFORMES,PODICIPEDIDAE,NA,Tachybaptus,dominicus,Tachybaptus dominicus,Least Grebe,71,TRUE,Tachybaptus dominicus,22696571,LC,366615,https://www.marinespecies.org/aphia.php?p=taxdetails&id=366615,Species,TRUE
PODICIPEDIFORMES,PODICIPEDIDAE,NA,Podilymbus,podiceps,Podilymbus podiceps,Pied-billed Grebe,72,TRUE,Podilymbus podiceps,22696574,LC,159062,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159062,Species,TRUE
PODICIPEDIFORMES,PODICIPEDIDAE,NA,Podiceps,auritus,Podiceps auritus,Horned Grebe,73,TRUE,Podiceps auritus,22696606,VU,137181,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137181,Species,TRUE
