"common_name","scientific_name","also_known_as","category","protected_status","region","species_url"
"Acadian Redfish","Sebastes fasciatus","Redfish, Ocean perch, Labrador redfish","Fish; Groundfish; Wild-Caught Seafood",NA,"; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/acadian-redfish"
"Acropora globiceps Coral","Acropora globiceps",NA,"Invertebrates; Corals","ESA Threatened; CITES Appendix II","; Pacific Islands","https://www.fisheries.noaa.gov/species/acropora-globiceps-coral"
"Acropora jacquelineae Coral","Acropora jacquelineae",NA,"Invertebrates; Corals","ESA Threatened - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/acropora-jacquelineae-coral"
"Acropora lokani Coral","Acropora lokani",NA,"Invertebrates; Corals","ESA Threatened - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/acropora-lokani-coral"
"Acropora pharaonis Coral","Acropora pharaonis",NA,"Invertebrates; Corals","ESA Threatened - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/acropora-pharaonis-coral"
"Acropora retusa Coral","Acropora retusa",NA,"Invertebrates; Corals","ESA Threatened; CITES Appendix II","; Pacific Islands","https://www.fisheries.noaa.gov/species/acropora-retusa-coral"
"Acropora rudis Coral","Acropora rudis",NA,"Invertebrates; Corals","ESA Threatened - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/acropora-rudis-coral"
"Acropora speciosa Coral","Acropora speciosa",NA,"Invertebrates; Corals","ESA Threatened; CITES Appendix II","; Pacific Islands","https://www.fisheries.noaa.gov/species/acropora-speciosa-coral"
"Acropora tenella Coral","Acropora tenella",NA,"Invertebrates; Corals","ESA Threatened - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/acropora-tenella-coral"
"Adriatic Sturgeon","Acipenser naccarii",NA,"Fish; Protected Fish","ESA Endangered - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/adriatic-sturgeon"
"African Coelacanth","Latimeria chalumnae",NA,"Fish; Protected Fish","ESA Threatened - Foreign; CITES Appendix I","; Foreign","https://www.fisheries.noaa.gov/species/african-coelacanth"
"Alabama Shad","Alosa alabamae",NA,"Fish","ESA Candidate","; Southeast","https://www.fisheries.noaa.gov/species/alabama-shad"
"Alaska Pollock","Gadus chalcogrammus","Pollock, Walleye pollock, Pacific pollock","Fish; Groundfish; Wild-Caught Seafood",NA,"; Alaska","https://www.fisheries.noaa.gov/species/alaska-pollock"
"Alaska Snow Crab","Chionoecetes opilio","Opilio, Opies","Invertebrates; Crab; Wild-Caught Seafood",NA,"; Alaska","https://www.fisheries.noaa.gov/species/alaska-snow-crab"
"Almaco Jack","Seriola rivoliana","Kanpachi, Kampachi, Kahala, Hawaiian yellowtail, Songoro amberjack, Medregal, Bar jack, Hamachi, Longfin yellowtail","Fish; Farmed Seafood; Reef Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast","https://www.fisheries.noaa.gov/species/almaco-jack"
"American Lobster","Homarus americanus","Lobster","Invertebrates; Wild-Caught Seafood",NA,"; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/american-lobster"
"American Plaice","Hippoglossoides platessoides","American dab, Canadian plaice, Dab","Fish; Groundfish; Wild-Caught Seafood",NA,"; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/american-plaice"
"Anacropora spinosa Coral","Anacropora spinosa",NA,"Invertebrates; Corals","ESA Threatened - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/anacropora-spinosa-coral"
"Argentine Angelshark","Squatina argentina",NA,"Fish; Protected Fish; Sharks","ESA Endangered - Foreign","; Foreign","https://www.fisheries.noaa.gov/species/argentine-angelshark"
"Arrowtooth Flounder","Atheresthes stomias","Flounder, Arrowtooth halibut, Turbot, Paltus","Fish; Wild-Caught Seafood",NA,"; AlaskaRegion; West Coast","https://www.fisheries.noaa.gov/species/arrowtooth-flounder"
"Atlantic Bigeye Tuna","Thunnus obesus","Tuna, Big eye, Ahi-b","Fish; Highly Migratory Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-bigeye-tuna"
"Atlantic Blacktip Shark","Carcharhinus limbatus","Black fin shark, Blacktip whaler, Common blacktip shark, Gray shark, Requiem shark, Small blacktip shark, Spot-fin ground shark","Fish; Highly Migratory Fish; Sharks; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-blacktip-shark"
"Atlantic Chub Mackerel","Scomber colias","Mackerel, Chub mackerel, Tinker mackerel","Fish; Wild-Caught Seafood",NA,"; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/atlantic-chub-mackerel"
"Atlantic Cod","Gadus morhua","Cod, Codling, Scrod cod, Markets, Steakers","Fish; Groundfish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-cod"
"Atlantic Common Thresher Shark","Alopias vulpinus","Thresher shark, Fox shark, Sea fox, Swingletail, Whiptail shark, Thintail shark","Fish; Highly Migratory Fish; Sharks; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-common-thresher-shark"
"Atlantic Deep-Sea Red Crab","Chaceon quinquedens","Atlantic red crab, Red crab, Red deepsea crab","Invertebrates; Crab; Wild-Caught Seafood",NA,"; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/atlantic-deep-sea-red-crab"
"Atlantic Goliath Grouper","Epinephelus itajara",NA,"Fish; Reef Fish",NA,"; Southeast","https://www.fisheries.noaa.gov/species/atlantic-goliath-grouper"
"Atlantic Halibut","Hippoglossus hippoglossus","Atlantic halibut, Halibut","Fish; Groundfish; Wild-Caught Seafood",NA,"; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/atlantic-halibut"
"Atlantic Herring","Clupea harengus","Herring, Sea herring, Sild, Common herring, Labrador herring, Sardine, Sperling","Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-herring"
"Atlantic Humpback Dolphin","Sousa teuszii",NA,"Dolphins & Porpoises","ESA Endangered - Foreign; MMPA Protected; CITES Appendix I","; Foreign","https://www.fisheries.noaa.gov/species/atlantic-humpback-dolphin"
"Atlantic Mackerel","Scomber scombrus","Mackerel, Common mackerel, Boston mackerel, Caballa","Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-mackerel"
"Atlantic Mahi Mahi","Coryphaena hippurus","Mahimahi, Dolphinfish, Dolphin, Dorado","Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-mahi-mahi"
"Atlantic Menhaden","Brevoortia tyrannus","Fatback, Bunker, Pogie, Mossback","Fish",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-menhaden"
"Atlantic Northern Shrimp","Pandalus borealis","Pink shrimp, Salad shrimp, Coldwater shrimp, Deep water prawn","Invertebrates; Shrimp; Wild-Caught Seafood",NA,"; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/atlantic-northern-shrimp"
"Atlantic Pollock","Pollachius virens","Saithe, Coalfish, Coley, Green cod, Boston bluefish","Fish; Groundfish; Wild-Caught Seafood",NA,"; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/atlantic-pollock"
"Atlantic Salmon","Salmo salar","Salmon, Sea run salmon, Kelts, Black salmon","Fish; Farmed Seafood; Protected Fish; Salmon & Steelhead","ESA Endangered","; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/atlantic-salmon"
"Atlantic Sea Scallop","Placopecten magellanicus","Scallop, Sea scallop, Giant scallop","Invertebrates; Scallops; Wild-Caught Seafood",NA,"; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/atlantic-sea-scallop"
"Atlantic Sharpnose Shark","Rhizoprionodon terraenovae","Newfoundland shark, Sharp-nosed shark, White shark","Fish; Highly Migratory Fish; Sharks; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-sharpnose-shark"
"Atlantic Shortfin Mako Shark","Isurus oxyrinchus","Mako shark, Blue pointer, Bonito shark, Atlantic mako shark","Fish; Highly Migratory Fish; Sharks; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-shortfin-mako-shark"
"Atlantic Skipjack Tuna","Katsuwonus pelamis","Tuna, Ocean bonito, Lesser tuna, Aku","Fish; Highly Migratory Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-skipjack-tuna"
"Atlantic Spiny Dogfish","Squalus acanthias","Dogfish shark, Cape dogfish, Cape shark, Spring dogfish, Spiked dogfish, Grayfish, Spur dog, Piked dogfish","Fish; Sharks; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-spiny-dogfish"
"Atlantic Spotted Dolphin","Stenella frontalis",NA,"Dolphins & Porpoises","MMPA Protected; CITES Appendix II; SPAW Annex II","; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-spotted-dolphin"
"Atlantic Striped Bass","Morone saxatilis","Bass, Rockfish, Striper, Linesider","Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-striped-bass"
