sci_ds,scientific_name_dataset,scientific_name_dataset_url,category,region,common_name,nmfs_esa,nmfs_esa_all,is_mmpa,scientific_name_accepted,worms_id,taxon_rank,is_marine,worms_id_url
Sebastes fasciatus,Sebastes fasciatus,https://www.fisheries.noaa.gov/species/acadian-redfish,Fish; Groundfish; Wild-Caught Seafood,; New England/Mid-Atlantic,NA,LC,LC,FALSE,Sebastes fasciatus,127252,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127252
Acropora globiceps,Acropora globiceps,https://www.fisheries.noaa.gov/species/acropora-globiceps-coral,Invertebrates; Corals,; Pacific Islands,NA,TN,TN,FALSE,Acropora globiceps,430645,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=430645
Acropora jacquelineae,Acropora jacquelineae,https://www.fisheries.noaa.gov/species/acropora-jacquelineae-coral,Invertebrates; Corals,; Foreign,NA,LC,LC,FALSE,Acropora jacquelineae,288212,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=288212
Acropora lokani,Acropora lokani,https://www.fisheries.noaa.gov/species/acropora-lokani-coral,Invertebrates; Corals,; Foreign,NA,LC,LC,FALSE,Acropora lokani,288219,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=288219
Acropora pharaonis,Acropora pharaonis,https://www.fisheries.noaa.gov/species/acropora-pharaonis-coral,Invertebrates; Corals,; Foreign,NA,LC,LC,FALSE,Acropora pharaonis,207059,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207059
Acropora retusa,Acropora retusa,https://www.fisheries.noaa.gov/species/acropora-retusa-coral,Invertebrates; Corals,; Pacific Islands,NA,TN,TN,FALSE,Acropora retusa,430653,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=430653
Acropora rudis,Acropora rudis,https://www.fisheries.noaa.gov/species/acropora-rudis-coral,Invertebrates; Corals,; Foreign,NA,LC,LC,FALSE,Acropora rudis,288241,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=288241
Acropora speciosa,Acropora speciosa,https://www.fisheries.noaa.gov/species/acropora-speciosa-coral,Invertebrates; Corals,; Pacific Islands,NA,TN,TN,FALSE,Acropora speciosa,430655,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=430655
Acropora tenella,Acropora tenella,https://www.fisheries.noaa.gov/species/acropora-tenella-coral,Invertebrates; Corals,; Foreign,NA,LC,LC,FALSE,Acropora tenella,288254,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=288254
Acipenser naccarii,Acipenser naccarii,https://www.fisheries.noaa.gov/species/adriatic-sturgeon,Fish; Protected Fish,; Foreign,NA,LC,LC,FALSE,Huso naccarii,1815705,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1815705
Latimeria chalumnae,Latimeria chalumnae,https://www.fisheries.noaa.gov/species/african-coelacanth,Fish; Protected Fish,; Foreign,NA,LC,LC,FALSE,Latimeria chalumnae,217438,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=217438
Alosa alabamae,Alosa alabamae,https://www.fisheries.noaa.gov/species/alabama-shad,Fish,; Southeast,NA,LC,LC,FALSE,Alosa alabamae,272248,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=272248
Gadus chalcogrammus,Gadus chalcogrammus,https://www.fisheries.noaa.gov/species/alaska-pollock,Fish; Groundfish; Wild-Caught Seafood,; Alaska,NA,LC,LC,FALSE,Gadus chalcogrammus,300735,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=300735
Chionoecetes opilio,Chionoecetes opilio,https://www.fisheries.noaa.gov/species/alaska-snow-crab,Invertebrates; Crab; Wild-Caught Seafood,; Alaska,NA,LC,LC,FALSE,Chionoecetes opilio,107315,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=107315
Seriola rivoliana,Seriola rivoliana,https://www.fisheries.noaa.gov/species/almaco-jack,Fish; Farmed Seafood; Reef Fish; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast,NA,LC,LC,FALSE,Seriola rivoliana,126818,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=126818
Homarus americanus,Homarus americanus,https://www.fisheries.noaa.gov/species/american-lobster,Invertebrates; Wild-Caught Seafood,; New England/Mid-Atlantic,NA,LC,LC,FALSE,Homarus americanus,156134,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=156134
Hippoglossoides platessoides,Hippoglossoides platessoides,https://www.fisheries.noaa.gov/species/american-plaice,Fish; Groundfish; Wild-Caught Seafood,; New England/Mid-Atlantic,NA,LC,LC,FALSE,Hippoglossoides platessoides,127137,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127137
Anacropora spinosa,Anacropora spinosa,https://www.fisheries.noaa.gov/species/anacropora-spinosa-coral,Invertebrates; Corals,; Foreign,NA,LC,LC,FALSE,Anacropora spinosa,289244,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=289244
Squatina argentina,Squatina argentina,https://www.fisheries.noaa.gov/species/argentine-angelshark,Fish; Protected Fish; Sharks,; Foreign,NA,LC,LC,FALSE,Squatina argentina,271664,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=271664
Atheresthes stomias,Atheresthes stomias,https://www.fisheries.noaa.gov/species/arrowtooth-flounder,Fish; Wild-Caught Seafood,; AlaskaRegion; West Coast,NA,LC,LC,FALSE,Atheresthes stomias,279792,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=279792
Thunnus obesus,Thunnus obesus,https://www.fisheries.noaa.gov/species/atlantic-bigeye-tuna,Fish; Highly Migratory Fish; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast; ; Pacific IslandsRegion; West Coast,NA,LC,LC,FALSE,Thunnus obesus,127028,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127028
Carcharhinus limbatus,Carcharhinus limbatus,https://www.fisheries.noaa.gov/species/atlantic-blacktip-shark,Fish; Highly Migratory Fish; Sharks; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Carcharhinus limbatus,105793,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105793
Scomber colias,Scomber colias,https://www.fisheries.noaa.gov/species/atlantic-chub-mackerel,Fish; Wild-Caught Seafood,; New England/Mid-Atlantic,NA,LC,LC,FALSE,Scomber colias,151174,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151174
Gadus morhua,Gadus morhua,https://www.fisheries.noaa.gov/species/atlantic-cod,Fish; Groundfish; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Gadus morhua,126436,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=126436
Alopias vulpinus,Alopias vulpinus,https://www.fisheries.noaa.gov/species/atlantic-common-thresher-shark,Fish; Highly Migratory Fish; Sharks; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast; ; Pacific IslandsRegion; West Coast,NA,LC,LC,FALSE,Alopias vulpinus,105836,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105836
Chaceon quinquedens,Chaceon quinquedens,https://www.fisheries.noaa.gov/species/atlantic-deep-sea-red-crab,Invertebrates; Crab; Wild-Caught Seafood,; New England/Mid-Atlantic,NA,LC,LC,FALSE,Chaceon quinquedens,158407,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158407
Epinephelus itajara,Epinephelus itajara,https://www.fisheries.noaa.gov/species/atlantic-goliath-grouper,Fish; Reef Fish,; Southeast,NA,LC,LC,FALSE,Epinephelus itajara,159353,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159353
Hippoglossus hippoglossus,Hippoglossus hippoglossus,https://www.fisheries.noaa.gov/species/atlantic-halibut,Fish; Groundfish; Wild-Caught Seafood,; New England/Mid-Atlantic,NA,LC,LC,FALSE,Hippoglossus hippoglossus,127138,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127138
Clupea harengus,Clupea harengus,https://www.fisheries.noaa.gov/species/atlantic-herring,Fish; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Clupea harengus,126417,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=126417
Sousa teuszii,Sousa teuszii,https://www.fisheries.noaa.gov/species/atlantic-humpback-dolphin,Dolphins & Porpoises,; Foreign,NA,LC,LC,TRUE,Sousa teuszii,254970,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=254970
Scomber scombrus,Scomber scombrus,https://www.fisheries.noaa.gov/species/atlantic-mackerel,Fish; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Scomber scombrus,127023,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127023
Coryphaena hippurus,Coryphaena hippurus,https://www.fisheries.noaa.gov/species/atlantic-mahi-mahi,Fish; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast; ; Pacific IslandsRegion; West Coast,Mahi,LC,LC,FALSE,Coryphaena hippurus,126846,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=126846
Brevoortia tyrannus,Brevoortia tyrannus,https://www.fisheries.noaa.gov/species/atlantic-menhaden,Fish,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Brevoortia tyrannus,158691,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158691
Pandalus borealis,Pandalus borealis,https://www.fisheries.noaa.gov/species/atlantic-northern-shrimp,Invertebrates; Shrimp; Wild-Caught Seafood,; New England/Mid-Atlantic,NA,LC,LC,FALSE,Pandalus borealis,107649,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=107649
Pollachius virens,Pollachius virens,https://www.fisheries.noaa.gov/species/atlantic-pollock,Fish; Groundfish; Wild-Caught Seafood,; New England/Mid-Atlantic,NA,LC,LC,FALSE,Pollachius virens,126441,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=126441
Salmo salar,Salmo salar,https://www.fisheries.noaa.gov/species/atlantic-salmon,Fish; Farmed Seafood; Protected Fish; Salmon & Steelhead,; New England/Mid-Atlantic,NA,EN,EN,FALSE,Salmo salar,127186,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127186
Placopecten magellanicus,Placopecten magellanicus,https://www.fisheries.noaa.gov/species/atlantic-sea-scallop,Invertebrates; Scallops; Wild-Caught Seafood,; New England/Mid-Atlantic,NA,LC,LC,FALSE,Placopecten magellanicus,156972,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=156972
Rhizoprionodon terraenovae,Rhizoprionodon terraenovae,https://www.fisheries.noaa.gov/species/atlantic-sharpnose-shark,Fish; Highly Migratory Fish; Sharks; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Rhizoprionodon terraenovae,158510,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158510
Isurus oxyrinchus,Isurus oxyrinchus,https://www.fisheries.noaa.gov/species/atlantic-shortfin-mako-shark,Fish; Highly Migratory Fish; Sharks; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast; ; Pacific IslandsRegion; West Coast; ; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast,NA,LC,LC,FALSE,Isurus oxyrinchus,105839,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105839
Katsuwonus pelamis,Katsuwonus pelamis,https://www.fisheries.noaa.gov/species/atlantic-skipjack-tuna,Fish; Highly Migratory Fish; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast; ; Pacific IslandsRegion; West Coast,NA,LC,LC,FALSE,Katsuwonus pelamis,127018,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127018
