aphia,species,phylum,class,rec_usa,cells_usa,min_year_usa,max_year_usa,in_v9,has_rng,mp_sdm
159828,Peprilus triacanthus,Chordata,Teleostei,25229,6534,1948,2020,FALSE,FALSE,available
233015,Karenia brevis,Myzozoa,Dinophyceae,33010,2027,1953,2022,FALSE,FALSE,available
840626,Tripos fusus,Myzozoa,Dinophyceae,3738,1851,1961,2021,FALSE,FALSE,available
171632,Aphrocallistes vastus,Porifera,Hexactinellida,3707,1849,1888,2019,FALSE,FALSE,NA
158356,Dichelopandalus leptocerus,Arthropoda,Malacostraca,5539,1740,1879,2020,FALSE,FALSE,available
149093,Thalassionema nitzschioides,Heterokontophyta,Bacillariophyceae,3402,1723,1961,2017,FALSE,FALSE,available
495363,Tripos muelleri,Myzozoa,Dinophyceae,3287,1687,1961,2017,FALSE,FALSE,available
158355,Crangon septemspinosa,Arthropoda,Malacostraca,4709,1437,1903,2020,FALSE,FALSE,NA
368558,Chionoecetes bairdi,Arthropoda,Malacostraca,12683,1434,1975,2004,FALSE,FALSE,NA
157083,Thalassiothrix longissima,Heterokontophyta,Bacillariophyceae,1713,1224,1934,2017,FALSE,FALSE,available
163348,Rhizosolenia semispina,Heterokontophyta,Bacillariophyceae,2109,1114,1934,2017,FALSE,FALSE,available
168642,Mycale (Mycale) loveni,Porifera,Demospongiae,6053,1105,1964,2019,FALSE,FALSE,NA
841260,Tripos macroceros,Myzozoa,Dinophyceae,1772,1036,1961,2017,FALSE,FALSE,available
841259,Tripos longipes,Myzozoa,Dinophyceae,1572,1010,1961,2017,FALSE,FALSE,available
104878,Temora longicornis,Arthropoda,Copepoda,3802,969,1880,2017,FALSE,FALSE,available
159303,Bairdiella chrysoura,Chordata,Teleostei,8608,925,1935,2019,TRUE,TRUE,available
159490,Aluterus schoepfii,Chordata,Teleostei,1348,849,1899,2021,FALSE,FALSE,NA
196813,Neodenticula seminae,Heterokontophyta,Bacillariophyceae,888,794,1984,2017,FALSE,FALSE,available
149152,Pseudo-nitzschia seriata,Heterokontophyta,Bacillariophyceae,2002,762,1934,2022,FALSE,FALSE,available
158435,Ovalipes stephensoni,Arthropoda,Malacostraca,3318,741,1916,2016,FALSE,FALSE,NA
104638,Pleuromamma borealis,Arthropoda,Copepoda,1401,689,1961,2017,FALSE,FALSE,available
104474,Candacia armata,Arthropoda,Copepoda,1176,664,1953,2017,FALSE,FALSE,available
107323,Hyas coarctatus,Arthropoda,Malacostraca,1505,644,1903,2020,FALSE,FALSE,available
246391,Penaeus duorarum,Arthropoda,Malacostraca,12463,642,1884,2021,FALSE,FALSE,NA
231873,Alexandrium catenella,Myzozoa,Dinophyceae,3297,636,1975,2021,FALSE,FALSE,available
128504,Anthoptilum grandiflorum,Cnidaria,Octocorallia,2213,612,1880,2021,FALSE,FALSE,available
837459,Tripos lineatus,Myzozoa,Dinophyceae,816,611,1962,2017,FALSE,FALSE,available
155243,Tharyx acutus,Annelida,Polychaeta,3612,607,1964,2015,FALSE,FALSE,NA
156832,Cyclocardia borealis,Mollusca,Bivalvia,2041,598,1870,2020,FALSE,FALSE,NA
196770,Calanus marshallae,Arthropoda,Copepoda,1343,594,1969,2022,FALSE,FALSE,NA
134285,Suberites ficus,Porifera,Demospongiae,762,585,1967,2020,FALSE,FALSE,available
196775,Eucalanus bungii,Arthropoda,Copepoda,1328,585,1938,2022,FALSE,FALSE,NA
196772,Neocalanus plumchrus,Arthropoda,Copepoda,1332,583,1957,2022,FALSE,FALSE,NA
1042856,Hypanus americanus,Chordata,Elasmobranchii,1414,575,1951,2023,TRUE,TRUE,available
158525,Squatina dumeril,Chordata,Elasmobranchii,1083,572,1950,2019,TRUE,TRUE,available
421894,Moreiradromia antillensis,Arthropoda,Malacostraca,1030,565,1938,2021,FALSE,FALSE,NA
149629,Rhizosolenia styliformis,Heterokontophyta,Bacillariophyceae,664,557,1934,2017,FALSE,FALSE,available
395176,Penaeus aztecus,Arthropoda,Malacostraca,19960,554,1938,2016,FALSE,FALSE,available
104470,Neocalanus cristatus,Arthropoda,Copepoda,1097,550,1888,2022,FALSE,FALSE,available
474112,Luidia lawrencei,Echinodermata,Asteroidea,707,539,1964,2021,FALSE,FALSE,NA
104465,Calanus glacialis,Arthropoda,Copepoda,1729,538,1957,2020,FALSE,FALSE,available
149168,Proboscia alata,Heterokontophyta,Bacillariophyceae,936,537,1962,2017,FALSE,FALSE,available
149074,Skeletonema costatum,Heterokontophyta,Bacillariophyceae,2403,531,1961,2021,FALSE,FALSE,available
840627,Tripos furca,Myzozoa,Dinophyceae,683,526,1962,2021,FALSE,FALSE,available
104811,Scolecithricella minor,Arthropoda,Copepoda,962,480,1954,2022,FALSE,FALSE,available
158400,Pagurus acadianus,Arthropoda,Malacostraca,1192,477,1873,2020,FALSE,FALSE,NA
158112,Leptocheirus pinguis,Arthropoda,Malacostraca,1776,472,1904,2008,FALSE,FALSE,NA
330826,Podarkeopsis levifuscina,Annelida,Polychaeta,670,469,1960,2015,FALSE,FALSE,NA
525497,Aricidea (Acmira) cerrutii,Annelida,Polychaeta,1800,469,1962,2015,FALSE,FALSE,available
149004,Cylindrotheca closterium,Heterokontophyta,Bacillariophyceae,1609,465,1971,2023,FALSE,FALSE,available
149023,Ditylum brightwellii,Heterokontophyta,Bacillariophyceae,1144,463,1934,2022,FALSE,FALSE,available
762818,Penaeus setiferus,Arthropoda,Malacostraca,15574,457,1898,2022,FALSE,FALSE,NA
442167,Hyas lyratus,Arthropoda,Malacostraca,961,448,1975,2005,FALSE,FALSE,NA
559006,Fabricinuda trilobata,Annelida,Polychaeta,1140,446,1963,2015,FALSE,FALSE,NA
103375,Fritillaria borealis,Chordata,Appendicularia,644,443,1970,2022,FALSE,FALSE,available
292043,Callogorgia compressa,Cnidaria,Octocorallia,760,437,1968,2021,FALSE,FALSE,NA
157816,Diastylis quadrispinosa,Arthropoda,Malacostraca,1774,433,1871,2008,FALSE,FALSE,NA
841746,Tripos pentagonus,Myzozoa,Dinophyceae,480,430,1967,2017,FALSE,FALSE,available
219881,Melichthys niger,Chordata,Teleostei,6473,423,1951,2021,FALSE,FALSE,NA
158351,Atlantopandalus propinqvus,Arthropoda,Malacostraca,648,420,1884,2019,FALSE,FALSE,available
102989,Phoxocephalus holbolli,Arthropoda,Malacostraca,1614,418,1905,2008,FALSE,FALSE,available
837453,Tripos horridus,Myzozoa,Dinophyceae,474,418,1961,2017,FALSE,FALSE,available
734532,Aricidea (Strelzovia) suecica,Annelida,Polychaeta,1020,417,1971,2015,FALSE,FALSE,available
1346052,Leodamas rubrus,Annelida,Polychaeta,953,407,1960,2015,FALSE,FALSE,available
841261,Tripos massiliensis,Myzozoa,Dinophyceae,529,403,1967,2016,FALSE,FALSE,available
107676,Pasiphaea multidentata,Arthropoda,Malacostraca,648,394,1955,2019,FALSE,FALSE,available
442165,Chionoecetes tanneri,Arthropoda,Malacostraca,2144,393,1894,2004,FALSE,FALSE,NA
