sp_key,n_cells_br
Chn-0721ac0c-7d19-46fa-9dcc-02da54310867,88
Chn-27d923b5-53c3-4d53-aa10-1f02bea6dd01,1
Chn-3d368bae-a02b-4109-99a3-33d99b22f83d,36
Chn-46f58c2c-1280-4f6a-a148-e854c19246fe,1
Chn-4a9f789f-84e4-4da2-b520-c754b804a303,82
Chn-5b98a280-b9a0-435b-8ed9-87b3f63fc29b,1
Chn-c52065c0-9805-4194-99b0-c065a99ff036,42
Chn-d99f6747-b64f-4916-8b24-df588e80e148,38
Chn-eff8756a-9d9f-4430-886b-4a0badfed55d,1
Chn-f41af29f-5e40-4cb4-8862-220e6e64b329,76
Cla-29190,393
Fis-10690,120
Fis-10768,962
Fis-10896,202
Fis-1099,124
Fis-112248,2
Fis-11256,980
Fis-112580,177
Fis-112582,177
Fis-112590,113
Fis-112688,13
Fis-112689,187
Fis-112702,208
Fis-112706,16
Fis-112710,349
Fis-112822,326
Fis-113158,10
Fis-113165,196
Fis-113313,1
Fis-113413,7
Fis-113426,7
Fis-113429,10
Fis-113495,3
Fis-113505,5
Fis-113513,1
Fis-113558,2
Fis-113633,3
Fis-113732,21
Fis-113787,12
Fis-113923,14
Fis-113926,1
Fis-113951,22
Fis-113956,1
Fis-114088,1717
Fis-114098,1773
Fis-114124,1783
Fis-114152,18
Fis-114251,10
Fis-11429,6
Fis-114368,116
Fis-114556,499
Fis-114615,117
Fis-114618,110
Fis-114623,114
Fis-114739,70
Fis-114937,309
Fis-114940,100
Fis-114946,144
Fis-114960,8
Fis-114973,13
Fis-114974,96
Fis-114976,57
Fis-114977,124
Fis-114978,36
Fis-114979,94
Fis-115015,167
Fis-115192,460
Fis-115342,185
Fis-115352,209
Fis-115511,63
Fis-115623,194
Fis-115687,32
Fis-115735,63
Fis-115739,123
Fis-115751,26
Fis-115798,494
Fis-115821,167
Fis-115865,143
Fis-115873,476
Fis-115966,73
Fis-115986,547
Fis-115989,450
Fis-116143,14
Fis-116241,43
Fis-116262,157
Fis-116271,46
Fis-116315,1181
Fis-116321,196
Fis-11641,48
Fis-116479,173
Fis-116691,30
Fis-116692,92
Fis-116725,23
Fis-116726,123
Fis-116737,135
Fis-116739,631
Fis-116747,212
Fis-116755,392
Fis-116902,241
Fis-116910,181
Fis-116917,285
Fis-116926,37
Fis-116935,282
Fis-116939,217
Fis-116940,409
Fis-116962,634
Fis-117035,12
Fis-117079,1094
Fis-117088,45
Fis-117115,348
Fis-117126,115
Fis-117220,39
Fis-117350,102
Fis-117370,133
Fis-117375,340
Fis-117773,192
Fis-118058,233
Fis-118267,3
Fis-118500,11
Fis-119200,78
Fis-119482,33
Fis-120072,361
Fis-120428,1
Fis-120470,329
Fis-120906,494
Fis-120908,648
Fis-120918,245
Fis-121645,1
Fis-121730,1
Fis-121765,111
Fis-121781,1
Fis-121783,1
Fis-123102,1
Fis-123121,86
Fis-123123,1
Fis-123132,126
Fis-123138,6
Fis-123139,1
Fis-123142,4
Fis-123648,48
Fis-123655,11
Fis-123665,72
Fis-123667,106
Fis-123670,87
Fis-123718,84
Fis-123736,2337
Fis-123738,108
Fis-12375,153
Fis-123765,9
Fis-123959,258
Fis-124203,3
Fis-124211,98
