study_map,season,sp_code,sp_id,tif,sp_common,sp_scientific,study_param,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName,lower_final_population_sensitivity,best_estimate_final_population_sensitivity,upper_final_population_sensitivity,lower_final_collision_sensitivity_rank,best_estimate_final_collision_sensitivity_rank,upper_final_collision_sensitivity_rank,lower_final_displacement_sensitivity_rank,best_estimate_final_displacement_sensitivity_rank,upper_final_displacement_sensitivity_rank
winship2018,fall,ATPU,GBIF:2481353,ATPU_fall.tif,Atlantic Puffin,Fratercula arctica,willmott2013,GBIF:2481353,Fratercula arctica,species,accepted,GBIF:2481353,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,2481352,4408612,"(Linnaeus, 1758)",北極海鸚,1.88,2.25,2.53,7.01,7.18,7.71,8.61,9.47,9.76
winship2018,fall,AUSH,GBIF:5229361,AUSH_fall.tif,Audubon's Shearwater,Puffinus lherminieri,willmott2013,GBIF:5229361,Puffinus lherminieri,species,accepted,GBIF:5229361,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,lherminieri,NA,5229335,NA,"Lesson, 1839",奧杜邦氏鸌,2.06,3.25,3.5,6.98,7.94,8.81,1.77,5.83,7.03
winship2018,fall,BCPE,GBIF:2481477,BCPE_fall.tif,Black-capped Petrel,Pterodroma hasitata,willmott2013,GBIF:2481477,Pterodroma hasitata,species,accepted,GBIF:2481477,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,hasitata,NA,2481443,4408460,"(Kuhl, 1820)",黑顶圆尾鹱,3.65,4.5,4.6,8.37,9.18,9.64,5.26,8.13,8.8
winship2018,fall,BLKI,GBIF:2481205,BLKI_fall.tif,Black-legged Kittiwake,Rissa tridactyla,willmott2013,GBIF:2481205,Rissa tridactyla,species,accepted,GBIF:2481205,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa,tridactyla,NA,2481203,2481182,"(Linnaeus, 1758)",三趾鸥,1.31,1.5,1.84,7.07,8.39,9.13,2.2,3.2,4.44
winship2018,fall,BLSC,GBIF:6178415,BLSC_fall.tif,Black Scoter,Melanitta americana,willmott2013,GBIF:6178415,Melanitta nigra americana,subspecies,accepted,GBIF:6178415,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,nigra,americana,2498247,4409099,"(Swainson, 1832)",Amerikaanse zee eend,1.69,2.5,3.31,6.69,7.81,9.22,6.79,8.85,9.61
winship2018,fall,BOGU,GBIF:6065818,BOGU_fall.tif,Bonaparte's Gull,Chroicocephalus philadelphia,willmott2013,GBIF:6065818,Chroicocephalus philadelphia,species,accepted,GBIF:6065818,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,philadelphia,NA,4848452,8190911,"(Ord, 1815)",小黑頭鷗,1.63,2.25,2.9,0.47,2.05,4.56,0.28,0.86,1.05
winship2018,fall,BRPE,GBIF:5229158,BRPE_fall.tif,Brown Pelican,Pelecanus occidentalis,willmott2013,GBIF:5229158,Pelecanus occidentalis,species,accepted,GBIF:5229158,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,occidentalis,NA,10650925,NA,"Linnaeus, 1766",褐鹈鹕,2,2.5,3.03,7.52,8.83,9.66,2.48,4.54,5.98
winship2018,fall,BRTE,GBIF:5789286,BRTE_fall.tif,Bridled Tern,Sterna anaethetus,willmott2013,GBIF:5789286,Onychoprion anaethetus,species,accepted,GBIF:5789286,Animalia,Chordata,Aves,Charadriiformes,Laridae,Onychoprion,anaethetus,NA,3241980,5229256,"(Scopoli, 1786)",褐翅燕鸥,1.69,2.5,2.71,7.81,8.71,9.6,5.11,8.32,9.04
winship2018,fall,COEI,GBIF:2498352,COEI_fall.tif,Common Eider,Somateria mollissima,willmott2013,GBIF:2498352,Somateria mollissima,species,accepted,GBIF:2498352,Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,mollissima,NA,2498349,2498353,"(Linnaeus, 1758)",歐絨鴨,1.63,2,2.44,7.73,8.28,9.24,9.13,9.8,9.95
winship2018,fall,COLO,GBIF:2481962,COLO_fall.tif,Common Loon,Gavia immer,willmott2013,GBIF:2481962,Gavia immer,species,accepted,GBIF:2481962,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,immer,NA,2481954,7588211,"(Brunnich, 1764)",普通潜鸟,2.31,2.75,3.06,6.66,7.32,8.41,7.41,8.42,8.89
