study_map,sp_id,sp_code,sp_common,sp_scientific,study_param,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName
winship2018,GBIF:5229230,ARTE,Arctic Tern,Sterna paradisaea,willmott2013,GBIF:5229230,Sterna paradisaea,species,accepted,GBIF:5229230,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,paradisaea,NA,2481227,NA,"Pontoppidan, 1763",北極燕鷗
winship2018,GBIF:2481353,ATPU,Atlantic Puffin,Fratercula arctica,willmott2013,GBIF:2481353,Fratercula arctica,species,accepted,GBIF:2481353,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,2481352,4408612,"(Linnaeus, 1758)",北極海鸚
winship2018,GBIF:5229361,AUSH,Audubon's Shearwater,Puffinus lherminieri,willmott2013,GBIF:5229361,Puffinus lherminieri,species,accepted,GBIF:5229361,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,lherminieri,NA,5229335,NA,"Lesson, 1839",奧杜邦氏鸌
winship2018,GBIF:2481477,BCPE,Black-capped Petrel,Pterodroma hasitata,willmott2013,GBIF:2481477,Pterodroma hasitata,species,accepted,GBIF:2481477,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,hasitata,NA,2481443,4408460,"(Kuhl, 1820)",黑顶圆尾鹱
winship2018,GBIF:2481312,BLGU,Black Guillemot,Cepphus grylle,willmott2013,GBIF:2481312,Cepphus grylle,species,accepted,GBIF:2481312,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Cepphus,grylle,NA,3241982,7881783,"(Linnaeus, 1758)",黑海鴿
winship2018,GBIF:2481205,BLKI,Black-legged Kittiwake,Rissa tridactyla,willmott2013,GBIF:2481205,Rissa tridactyla,species,accepted,GBIF:2481205,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa,tridactyla,NA,2481203,2481182,"(Linnaeus, 1758)",三趾鸥
winship2018,GBIF:6178415,BLSC,Black Scoter,Melanitta americana,willmott2013,GBIF:6178415,Melanitta nigra americana,subspecies,accepted,GBIF:6178415,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,nigra,americana,2498247,4409099,"(Swainson, 1832)",Amerikaanse zee eend
winship2018,GBIF:6065818,BOGU,Bonaparte's Gull,Chroicocephalus philadelphia,willmott2013,GBIF:6065818,Chroicocephalus philadelphia,species,accepted,GBIF:6065818,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,philadelphia,NA,4848452,8190911,"(Ord, 1815)",小黑頭鷗
winship2018,GBIF:5229158,BRPE,Brown Pelican,Pelecanus occidentalis,willmott2013,GBIF:5229158,Pelecanus occidentalis,species,accepted,GBIF:5229158,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,occidentalis,NA,10650925,NA,"Linnaeus, 1766",褐鹈鹕
winship2018,GBIF:2482001,BRSP,Band-rumped Storm- Petrel,Oceanodroma castro,willmott2013,GBIF:2482001,Oceanodroma castro,species,accepted,GBIF:2482001,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,castro,NA,2481998,4408451,"(Harcourt, 1851)",斑腰叉尾海燕
