"TaxNumCl","sp_id","Scientific_Name","Common_Name"
270,"GBIF:5232446","Branta bernicla","Brant"
559,"GBIF:9537647","Mergus merganser","Common Merganser"
561,"GBIF:2498375","Mergus serrator","Red-breasted Merganser"
586,"GBIF:2498224","Histrionicus histrionicus","Harlequin Duck"
590,"GBIF:2498246","Melanitta perspicillata","Surf Scoter"
591,"GBIF:6178410","Melanitta deglandi","White-winged Scoter"
596,"GBIF:6178415","Melanitta americana","Black Scoter"
600,"GBIF:2498273","Clangula hyemalis","Long-tailed Duck"
1660,"GBIF:2481958","Gavia stellata","Red-throated Loon"
1664,"GBIF:2481955","Gavia pacifica","Pacific Loon"
1666,"GBIF:2481962","Gavia immer","Common Loon"
1667,"GBIF:2481957","Gavia adamsii","Yellow-billed Loon"
1713,"GBIF:2482059","Podiceps auritus","Horned Grebe"
1716,"GBIF:2482051","Podiceps grisegena","Red-necked Grebe"
1723,"GBIF:2482065","Podiceps nigricollis","Eared Grebe"
1735,"GBIF:2482033","Aechmophorus occidentalis","Western Grebe"
1738,"GBIF:2482032","Aechmophorus clarkii","Clark's Grebe"
1811,"GBIF:2481381","Phoebastria immutabilis","Laysan Albatross"
1812,"GBIF:2481383","Phoebastria nigripes","Black-footed Albatross"
1814,"GBIF:2481385","Phoebastria albatrus","Short-tailed Albatross"
1822,"GBIF:6178263","Fulmarus glacialis rodgersii","Northern Fulmar"
1842,"GBIF:2481466","Pterodroma ultima","Murphy's Petrel"
1855,"GBIF:2481451","Pterodroma inexpectata","Mottled Petrel"
1866,"GBIF:2481449","Pterodroma sandwichensis","Hawaiian Petrel"
1872,"GBIF:2481491","Pterodroma cookii","Cook's Petrel"
1923,"GBIF:5229358","Puffinus creatopus","Pink-footed Shearwater"
1924,"GBIF:5229378","Puffinus carneipes","Flesh-footed Shearwater"
1928,"GBIF:5229379","Puffinus bulleri","Buller's Shearwater"
1929,"GBIF:5739277","Puffinus griseus","Sooty Shearwater"
1930,"GBIF:5229359","Puffinus tenuirostris","Short-tailed Shearwater"
1936,"GBIF:5229380","Puffinus puffinus","Manx Shearwater"
1947,"GBIF:5229356","Puffinus opisthomelas","Black-vented Shearwater"
1987,"GBIF:5229419","Oceanites oceanicus","Willson's Storm-Petrel"
2020,"GBIF:2482009","Oceanodroma furcata","Fork-tailed Storm-Petrel"
2024,"GBIF:2482012","Oceanodroma leucorhoa","Leach's Storm-Petrel"
2031,"GBIF:2482005","Oceanodroma homochroa","Ashy Storm-Petrel"
2042,"GBIF:2482006","Oceanodroma melania","Black Storm-Petrel"
2048,"GBIF:2481999","Oceanodroma microsoma","Least Storm-Petrel"
2148,"GBIF:2481892","Phalacrocorax penicillatus","Brandt's Cormorant"
2152,"GBIF:2481875","Phalacrocorax auritus","Double-crested Cormorant"
2176,"GBIF:2481870","Phalacrocorax pelagicus","Pelagic Cormorant"
2232,"GBIF:5229155","Pelecanus erythrorhynchos","American White Pelican"
2233,"GBIF:5229158","Pelecanus occidentalis","Brown Pelican"
4235,"GBIF:5739290","Phalaropus lobatus","Red-necked Phalarope"
4236,"GBIF:5229390","Phalaropus fulicarius","Red Phalarope"
4354,"GBIF:2481616","Stercorarius maccormicki","South Polar Skua"
4360,"GBIF:2481609","Stercorarius pomarinus","Pomarine Jaeger"
4361,"GBIF:2481621","Stercorarius parasiticus","Parasitic Jaeger"
4363,"GBIF:2481613","Stercorarius longicaudus","Long-tailed Jaeger"
4373,"GBIF:2481342","Uria aalge","Common Murre"
4397,"GBIF:9315520","Cepphus columba","Pigeon Guillemot"
4407,"GBIF:5229281","Brachyramphus marmoratus","Marbled Murrelet"
4409,"GBIF:2481351","Synthliboramphus hypoleucus","Scripps's Murrelet"
4412,"GBIF:2481348","Synthliboramphus craveri","Craveris Murrelet"
4415,"GBIF:2481350","Synthliboramphus antiquus","Ancient Murrelet"
4420,"GBIF:2481302","Ptychoramphus aleuticus","Cassin's Auklet"
4423,"GBIF:5229269","Aethia psittacula","Parakeet Auklet"
4427,"GBIF:2481324","Cerorhinca monocerata","Rhinoceros Auklet"
4433,"GBIF:2481359","Fratercula corniculata","Horned Puffin"
4434,"GBIF:2481357","Fratercula cirrhata","Tufted Puffin"
4440,"GBIF:2481205","Rissa tridactyla","Black-legged Kittiwake"
4444,"GBIF:2481221","Xema sabini","Sabine's Gull"
4451,"GBIF:6065818","Chroicocephalus philadelphia","Bonaparte's Gull"
4494,"GBIF:2481130","Larus heermanni","Heermann's Gull"
4495,"GBIF:11205778","Larus brachyrhynchus","Mew Gull"
4500,"GBIF:2481134","Larus delawarensis","Ring-billed Gull"
4504,"GBIF:9656686","Larus occidentalis","Western Gull"
4509,"GBIF:2481146","Larus californicus","California Gull"
4512,"GBIF:4848480","Larus smithsonianus","Herring Gull"
4529,"GBIF:2481159","Larus thayeri","Thayer's Gull"
4549,"GBIF:2481196","Larus glaucescens","Glaucous-winged Gull"
4637,"GBIF:5789285","Sternula antillarum","Least Tern"
4657,"GBIF:2481263","Sterna nilotica","Gull-billed Tern"
4665,"GBIF:2481236","Hydroprogne caspia","Caspian Tern"
4667,"GBIF:2481119","Chlidonias niger","Black Tern"
4694,"GBIF:9367409","Sterna hirundo","Common Tern"
4700,"GBIF:5229230","Sterna paradisaea","Arctic Tern"
4711,"GBIF:5229247","Sterna forsteri","Forster's Tern"
4719,"GBIF:5789281","Thalasseus maximus","Royal Tern"
4734,"GBIF:2481285","Thalasseus elegans","Elegant Tern"
4744,"GBIF:2481209","Rynchops niger","Black Skimmer"
