taxon_scientific_name,iucn_code,worms_id
Isostichopus fuscus,EN,529516
Ventsia tricarinata,CR,536892
Helicrenion reticulatum,CR,536901
Leptogyra inflata,CR,536902
Hyalogyra vitrinelloides,CR,536905
Sternula lorata,EN,567828
Euphyllia baliensis,EN,709028
Halobrecta princeps,CR,709654
Dipturus intermedius,CR,711846
Hemitriakis indroyonoi,EN,712377
Lamiopsis tephrodes,EN,712379
Squalus formosus,EN,712383
Rhynchobatus springeri,CR,712388
Pastinachus gracilicaudus,EN,712404
Hypoplectrus castroaguirrei,EN,712602
Hypoplectrus maya,EN,712605
Malacoctenus brunoi,CR,712818
Entomacrodus solus,EN,712837
Coryogalops ocheticus,EN,712862
Pascua sticta,CR,712874
Glaucostegus thouin,CR,712954
Pleuractis paumotensis,EN,716547
Danafungia scruposa,EN,716609
Lithophyllon concinna,EN,716645
Lithophyllon repanda,EN,716653
Astreopora cenderawasih,EN,717589
Astreopora acroporina,EN,717590
Pseudodiploria strigosa,CR,718718
Gigantidas vrijenhoeki,CR,1445231
Gymnura sereti,EN,1456340
Batagur baska,CR,1457593
Maculabatis macrura,EN,1468723
Stigmatopora harastii,EN,1468843
Raja ocellifera,EN,1470546
Bathygobius brasiliensis,EN,1493259
Chinchaysuyoa ortegai,EN,1493345
Egglestonichthys ulbubunitj,EN,1493455
Malacoctenus lianae,EN,1493758
Rhynchobatus mononoke,CR,1523828
Carcharhinus obsoletus,CR,1523902
Eucyclogobius kristinae,CR,1524549
Notoglanidium maculatum,EN,1525786
Telatrygon crozieri,EN,1526035
Glaucostegus younholeei,CR,1536543
Millepora braziliensis,CR,287420
Millepora complanata,CR,287421
Millepora nitida,CR,287424
Millepora squarrosa,CR,287425
Montipora altasepta,EN,287690
Montipora aspergillus,EN,287692
Montipora cactus,EN,287694
Montipora capitata,EN,287697
Montipora capricornis,EN,287698
Montipora cebuensis,EN,287699
Montipora confusa,EN,287700
Montipora corbettensis,EN,287701
Montipora crassituberculata,EN,287702
Montipora delicatula,EN,287704
Montipora echinata,EN,287705
Montipora florida,EN,287706
Montipora floweri,EN,287707
Montipora gaimardi,EN,287708
Montipora grisea,EN,287709
Montipora hemispherica,EN,287710
Montipora hodgsoni,EN,287712
Montipora incrassata,EN,287714
Montipora mactanensis,EN,287716
Montipora malampaya,EN,287717
Montipora niugini,EN,287718
Montipora nodosa,EN,287719
Montipora orientalis,EN,287720
Montipora pachytuberculata,EN,287721
Montipora palawanensis,EN,287722
Montipora samarensis,EN,287724
Montipora saudii,EN,287725
Montipora setosa,EN,287726
Montipora stilosa,EN,287727
Montipora taiwanensis,EN,287729
Montipora turtlensis,EN,287731
Montipora vietnamensis,EN,287733
Scolymia cubensis,CR,287852
Scolymia lacera,CR,287853
Agaricia humilis,CR,287914
Agaricia tenuifolia,CR,287916
Astreopora macrostoma,EN,287946
Astreopora moretonensis,EN,287947
Astreopora suggesta,EN,287948
Acropora abrolhosensis,EN,288182
Acropora arabensis,EN,288184
Acropora awi,EN,288185
Acropora carduus,EN,288189
Acropora chesterfieldensis,EN,288191
Acropora derawanensis,EN,288196
Acropora downingi,EN,288199
Acropora fenneri,EN,288203
Acropora filiformis,EN,288204
Acropora halmaherae,EN,288206
Acropora hemprichii,EN,288207
Acropora hoeksemai,EN,288208
Acropora indonesia,EN,288210
Acropora japonica,CR,288213
Acropora kimbeensis,EN,288214
Acropora kirstyae,EN,288215
Acropora kosurini,EN,288216
Acropora loisetteae,EN,288218
Acropora multiacuta,EN,288225
Acropora plumosa,EN,288233
Acropora proximalis,EN,288236
Acropora pruinosa,EN,288237
Acropora rongelapensis,EN,288239
Acropora sarmentosa,EN,288244
Acropora solitaryensis,EN,288248
Acropora stoddarti,EN,288249
Acropora subglabra,EN,288250
Acropora suharsonoi,EN,288251
Acropora sukarnoi,EN,288252
Acropora tortuosa,EN,288259
Acropora tumida,EN,288260
Acropora turaki,EN,288261
Acropora walindii,EN,288264
Acropora willisae,EN,288266
Ctenactis albitentaculata,EN,288874
Porites attenuata,EN,288890
Porites evermanni,EN,288900
Porites heronensis,EN,288905
Porites stephensoni,EN,288915
Porites sverdrupi,CR,288916
Rhizopsammia wellingtoni,CR,289181
Merulina scabricula,EN,289198
Meandrina meandrites,CR,289232
