is_ok,component,common_name,scientific_name,redlist_code_max,extrisk_code,er_score,is_mmpa,is_mbta,is_bcc,worms_is_marine,worms_is_extinct,n_datasets,taxon_authority,taxon_id,model_id
TRUE,bird,Aleutian Tern,Onychoprion aleuticus,VU,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22694716,17881
TRUE,bird,American Dipper,Cinclus mexicanus,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,22708163,17688
TRUE,bird,American Golden Plover,Pluvialis dominica,LC,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22693740,17924
TRUE,bird,American Tree Sparrow,Passerella arborea,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,22721159,17895
TRUE,bird,American Wigeon,Mareca americana,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,22680163,17841
TRUE,bird,American Yellow Warbler,Setophaga petechia,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,22721657,18007
TRUE,bird,Ancient Murrelet,Synthliboramphus antiquus,LC,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22694896,18039
TRUE,bird,Arctic Herring Gull,Larus smithsonianus,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,62030590,17822
TRUE,bird,Arctic Jaeger,Stercorarius parasiticus,LC,FWS:LC,10,FALSE,TRUE,FALSE,TRUE,NA,1,botw,22694245,18026
TRUE,bird,Arctic Tern,Sterna paradisaea,LC,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22694629,18030
TRUE,bird,Arctic Warbler,Phylloscopus borealis,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,103845882,18272
TRUE,bird,Ashy Storm-petrel,Hydrobates homochroa,EN,IUCN:EN,25,FALSE,FALSE,FALSE,NA,NA,1,botw,22698562,17791
TRUE,bird,Audubon's Shearwater,Puffinus lherminieri,LC,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,45959182,18153
TRUE,bird,Baird's Sandpiper,Calidris bairdii,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22693404,17647
TRUE,bird,Bald Eagle,Haliaeetus leucocephalus,LC,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,3,botw,22695144,NA
TRUE,bird,Band-rumped Storm-petrel,Hydrobates castro,EN,FWS:EN,100,FALSE,TRUE,FALSE,TRUE,NA,3,botw,132341128,NA
TRUE,bird,Bar-tailed Godwit,Limosa lapponica,NT,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22693158,17833
TRUE,bird,Bean Goose,Anser fabalis,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22679875,17590
TRUE,bird,Bell's Sparrow,Artemisiospiza belli,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,103780113,18328
TRUE,bird,Bell's Vireo,Vireo bellii,EN,IUCN:EN,25,FALSE,FALSE,FALSE,NA,NA,1,botw,22705156,18419
TRUE,bird,Belted Kingfisher,Megaceryle alcyon,LC,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22683623,17845
TRUE,bird,Black Guillemot,Cepphus grylle,LC,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22694861,17673
TRUE,bird,Black Noddy,Anous minutus,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22694799,17586
