Kingdom,Phylum,Class,Order,Family,Genus,Species,scientific_name,common_name,component
Animalia,Cnidaria,Octocorallia,Scleralcyonacea,Keratoisididae,Acanella,Acanella arbuscula,Acanella arbuscula,bonsai bamboo coral,coral
Animalia,Cnidaria,Hexacorallia,Scleractinia,Lobophylliidae,Acanthastrea,Acanthastrea brevis,Acanthastrea brevis,starry cup coral,coral
Animalia,Cnidaria,Hexacorallia,Scleractinia,Lobophylliidae,Acanthastrea,Acanthastrea echinata,Acanthastrea echinata,starry cup coral,coral
Animalia,Cnidaria,Hexacorallia,Scleractinia,Lobophylliidae,Acanthastrea,Acanthastrea hemprichii,Acanthastrea hemprichii,starry cup coral,coral
Animalia,Cnidaria,Hexacorallia,Scleractinia,Lobophylliidae,Acanthastrea,Acanthastrea pachysepta,Acanthastrea pachysepta,Unknown,coral
Animalia,Cnidaria,Hexacorallia,Scleractinia,Lobophylliidae,Acanthastrea,Acanthastrea rotundoflora,Acanthastrea rotundoflora,starry cup coral,coral
Animalia,Cnidaria,Octocorallia,Malacalcyonacea,Acanthogorgiidae,Acanthogorgia,Acanthogorgia aspera,Acanthogorgia aspera,Unknown,coral
Animalia,Cnidaria,Hexacorallia,Scleractinia,Acroporidae,Acropora,Acropora abrolhosensis,Acropora abrolhosensis,Unknown,coral
Animalia,Cnidaria,Hexacorallia,Scleractinia,Acroporidae,Acropora,Acropora abrotanoides,Acropora abrotanoides,Pacific elkhorn coral,coral
Animalia,Cnidaria,Hexacorallia,Scleractinia,Acroporidae,Acropora,Acropora aculeus,Acropora aculeus,bottlebrush acropora,coral
Animalia,Cnidaria,Hexacorallia,Scleractinia,Acroporidae,Acropora,Acropora acuminata,Acropora acuminata,Unknown,coral
Animalia,Cnidaria,Hexacorallia,Scleractinia,Acroporidae,Acropora,Acropora anthocercis,Acropora anthocercis,Unknown,coral
Animalia,Cnidaria,Hexacorallia,Scleractinia,Acroporidae,Acropora,Acropora aspera,Acropora aspera,green staghorn coral,coral
Animalia,Cnidaria,Hexacorallia,Scleractinia,Acroporidae,Acropora,Acropora austera,Acropora austera,stony coral colonies,coral
Animalia,Cnidaria,Hexacorallia,Scleractinia,Acroporidae,Acropora,Acropora carduus,Acropora carduus,Unknown,coral
Animalia,Cnidaria,Hexacorallia,Scleractinia,Acroporidae,Acropora,Acropora caroliniana,Acropora caroliniana,Unknown,coral
Animalia,Cnidaria,Hexacorallia,Scleractinia,Acroporidae,Acropora,Acropora cerealis,Acropora cerealis,Unknown,coral
Animalia,Cnidaria,Hexacorallia,Scleractinia,Acroporidae,Acropora,Acropora cervicornis,Acropora cervicornis,staghorn coral,coral
Animalia,Cnidaria,Hexacorallia,Scleractinia,Acroporidae,Acropora,Acropora clathrata,Acropora clathrata,plate coral,coral
Animalia,Cnidaria,Hexacorallia,Scleractinia,Acroporidae,Acropora,Acropora cophodactyla,Acropora cophodactyla,Unknown,coral
