taxon_id,taxon_authority,n_ds,ms_merge,sp_cat,mdl_seq,scientific_name,common_name,worms_id,redlist_code,extrisk_code,er_score,is_mmpa,is_mbta,is_bcc,worms_is_marine,worms_is_extinct,esa_code,esa_source,is_ok
137094,worms,4,NA,mammal,26876,Delphinus delphis,common dolphin,137094,LC,NMFS:LC,20,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
139045,worms,1,NA,invertebrate,109,Diacria trispinosa,three-spine cavoline,139045,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
173969,worms,1,NA,other,320,Styela squamosa,NA,173969,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
119921,worms,1,NA,invertebrate,631,Eucopia unguiculata,NA,119921,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
140577,worms,1,NA,invertebrate,703,Nuculana minuta,minute nutclam,140577,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
157583,worms,1,NA,other,719,Syllis cornuta,NA,157583,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
467467,worms,1,NA,invertebrate,732,Musculus glacialis,Corrugate mussel,467467,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
156103,worms,1,NA,coral,734,Gersemia rubiformis,red soft coral,156103,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
130500,worms,1,NA,other,736,Ophelina acuminata,NA,130500,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
103579,worms,1,NA,other,743,Diplosoma listerianum,Lister's didemnid,103579,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
100842,worms,1,NA,coral,841,Glandulactis spetsbergensis,Spitsberg sea anemone,100842,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
105863,worms,4,NA,fish,26875,Amblyraja hyperborea,arctic skate,105863,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
130677,worms,1,NA,other,973,Phyllodoce madeirensis,NA,130677,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
268130,worms,1,NA,other,1110,Iasis cylindrica,NA,268130,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
135130,worms,1,NA,coral,1142,Anomocora fecunda,NA,135130,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
117887,worms,1,NA,invertebrate,1153,Dynamena disticha,NA,117887,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
138838,worms,1,NA,invertebrate,1169,Atlanta peronii,Peron's sea butterfly,138838,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
130644,worms,1,NA,other,1236,Eumida sanguinea,blood-colored phyllodocid worm,130644,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
393739,worms,1,NA,invertebrate,1293,Mimachlamys gloriosa,NA,393739,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
1056519,worms,1,NA,invertebrate,1403,Robustosergia regalis,NA,1056519,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
1491000,worms,1,NA,other,1594,Scoletoma laurentiana,NA,1491000,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
391795,worms,1,NA,invertebrate,1938,Delectopecten vancouverensis,Randolph scallop,391795,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
150520,worms,1,NA,invertebrate,2025,Nymphon brevirostre,elegant sea spider,150520,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
344596,worms,1,NA,invertebrate,2078,Rhabdus rectius,straight tuskshell,344596,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
146733,worms,1,NA,invertebrate,2182,Boreotrophon truncatus,bobtail trophon,146733,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
405962,worms,1,NA,invertebrate,2187,Diacavolinia longirostris,shelled pteropod,405962,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
181381,worms,1,NA,invertebrate,2328,Histioteuthis reversa,reverse jewell squid,181381,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
105858,worms,4,NA,fish,26874,Mobula mobular,devil ray,105858,CR,IUCN:CR,50,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
504512,worms,1,NA,invertebrate,2501,Glycymeris septentrionalis,northern bittersweet,504512,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
420751,worms,1,NA,invertebrate,2608,Limaria pellucida,Antillean fileclam,420751,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
606421,worms,1,NA,invertebrate,2620,Kurtiella tumida,robust mysella,606421,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
344520,worms,1,NA,invertebrate,2668,Paradentalium americanum,American tuskshell,344520,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
334162,worms,1,NA,other,2703,Nereiphylla castanea,NA,334162,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
240357,worms,1,NA,invertebrate,2728,Tanystylum duospinum,NA,240357,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
157504,worms,1,NA,other,2737,Notomastus hemipodus,NA,157504,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
160102,worms,1,NA,invertebrate,2748,Astyris lunata,lunar dovesnail,160102,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
135144,worms,1,NA,coral,2825,Caryophyllia (Caryophyllia) smithii,Devonshire cup coral,135144,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
216636,worms,1,NA,invertebrate,2827,Hyotissa hyotis,giant honeycomb oyster,216636,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
450005,worms,1,NA,invertebrate,2830,Provanna laevis,NA,450005,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
