taxon_id,scientific_name,common_name,sp_cat,ds,fraction,method,basis,obis_total,obis_us
159131,Himantopus mexicanus knudseni,Hawaiian stilt,bird,rng_fws,1.0,endemic,"Hawaiian endemic subspecies (USFWS ESA listing, Hawaiian stilt recovery plan)",59454,19542
159038,Numenius borealis,Eskimo curlew,bird,rng_fws,0.25,literature,"presumed extinct (last confirmed 1963); historic breeding range in Canada, migration through the US; flagged",25,10
159074,larus atricilla,Laughing gull,bird,rng_fws,0.5,literature,"BirdLife/Partners in Flight: breeds on US Atlantic and Gulf coasts, Mexico, the Caribbean and northern South America; about half the population in the US. The real fix is the name crosswalk (BOTW: Leucophaeus atricilla), which would give it a global range",18628,17307
1805509,Acipenser oxyrinchus (=oxyrhynchus) desotoi,Gulf Sturgeon,fish,ch_fws+ch_nmfs+rng_fws,1.0,endemic,"US-endemic subspecies, Gulf of Mexico rivers and coast (USFWS/NMFS listing)",43,30
1577330,Brachygenys chrysargyreum,NA,fish,ax,0.75,obis,"OBIS records in the US EEZ / worldwide: 4,086 / 5,451; effort-biased, moderate confidence",5451,4086
280737,Eucyclogobius newberryi,tidewater goby,fish,ch_fws+rng_fws,1.0,endemic,California endemic (USFWS listing),681,680
276031,Fundulus jenkinsi,Saltmarsh topminnow,fish,rng_fws,1.0,endemic,"northern Gulf of Mexico endemic, Texas to Florida (NatureServe, FWS range)",707,701
279011,Plectranthias kelloggi,Eastern flower porgy,fish,ax,0.196,obis,"OBIS records in the US EEZ / worldwide: 29 / 148; effort-biased, moderate confidence",148,29
312023,Trimma macrophthalmum,NA,fish,ax,0.02,obis,"OBIS records in the US EEZ / worldwide: 0 / 811 (floor of 0.02 applied); effort-biased, low confidence",811,0
994105,Acromegalomma bioculatum,NA,invertebrate,ax,0.925,obis,"OBIS records in the US EEZ / worldwide: 368 / 398; effort-biased, moderate confidence",398,368
1341823,Amphisbetia distans,NA,invertebrate,ax,0.023,obis,"OBIS records in the US EEZ / worldwide: 12 / 520; effort-biased, moderate confidence",520,12
532168,Canarium labiatum,NA,invertebrate,ax,0.02,obis,"OBIS records in the US EEZ / worldwide: 0 / 620 (floor of 0.02 applied); effort-biased, low confidence",620,0
1048787,Carronella pellucida,NA,invertebrate,ax,0.056,obis,"OBIS records in the US EEZ / worldwide: 24 / 431; effort-biased, moderate confidence",431,24
565368,Labiostrombus epidromis,NA,invertebrate,ax,0.02,obis,"OBIS records in the US EEZ / worldwide: 0 / 92 (floor of 0.02 applied); effort-biased, low confidence",92,0
1590972,Latissistrombus sinuatus,NA,invertebrate,ax,0.029,obis,"OBIS records in the US EEZ / worldwide: 2 / 70; effort-biased, low confidence",70,2
515065,Metabetaeus lohena,Anchialine pool shrimp,invertebrate,rng_fws,1.0,endemic,Hawaiian anchialine-pool endemic (USFWS),8,8
447359,Oxymeris maculata,NA,invertebrate,ax,0.136,obis,"OBIS records in the US EEZ / worldwide: 71 / 521; effort-biased, moderate confidence",521,71
514615,Palaemonella burnsi,Anchialine pool shrimp,invertebrate,rng_fws,1.0,endemic,Hawaiian anchialine-pool endemic (USFWS),1,1
132510,Phakellia rugosa,NA,invertebrate,ax,0.02,obis,"OBIS records in the US EEZ / worldwide: 3 / 165 (floor of 0.02 applied); effort-biased, moderate confidence",165,3
514157,Procaris hawaiana,Anchialine pool Shrimp,invertebrate,rng_fws,1.0,endemic,Hawaiian anchialine-pool endemic (USFWS ESA listing),1,1
128957,Triconia conifera,NA,invertebrate,ax,0.032,obis,"OBIS records in the US EEZ / worldwide: 186 / 5,873; effort-biased, moderate confidence",5873,186
549664,Varicorbula limatula,NA,invertebrate,ax,0.677,obis,"OBIS records in the US EEZ / worldwide: 65 / 96; effort-biased, low confidence",96,65
1307001,Vasticardium subrugosum,NA,invertebrate,ax,0.02,obis,"OBIS records in the US EEZ / worldwide: 0 / 45 (floor of 0.02 applied); effort-biased, low confidence",45,0
507985,Venerupis aspera,NA,invertebrate,ax,0.02,obis,"OBIS records in the US EEZ / worldwide: 0 / 357 (floor of 0.02 applied); effort-biased, low confidence",357,0
514158,Vetericaris chaceorum,Anchialine pool shrimp,invertebrate,rng_fws,1.0,endemic,Hawaiian anchialine-pool endemic (USFWS ESA listing),2,2
242600,Enhydra lutris kenyoni,Northern Sea Otter,mammal,ch_fws+rng_fws,0.9,literature,"USFWS stock assessments: roughly 100,000 of 110,000 northern sea otters in Alaska and Washington, ~8,000 in British Columbia",3056,2265
242601,Enhydra lutris nereis,Southern sea otter,mammal,rng_fws,1.0,endemic,California endemic subspecies (USFWS stock assessment),10114,9989
