ver,status,access,released,title
v1,retired,public,2023-09-01,Planning Areas
v2,retired,public,2026-01-01,Program Areas
v3,retired,public,2026-02-01,Merged models + extinction risk
v4,retired,public,2026-03-01,SWOT sea turtles
v4b,retired,public,2026-03-19,Turtle multiplicative merge
v5,retired,public,2026-03-24,MMPA spatial floor
v6,retired,public,2026-04-09,IUCN range outside US EEZ
v7,released,public,2026-06-12,Validity decoupled from Program Areas
v8,prerelease,restricted,2026-07-28,Marine Atlas
v9,prerelease,restricted,2026-08-27,AquaX supersedes AquaMaps in US waters
